"About the data: Exported on Sep 30, 2024. Criteria: '""Universidad del Norte"" OR ""universidad del norte"" OR ""University of the North"" OR ""university of the north"" OR ""Uninorte"" OR ""uninorte""' in full data; Publication Year is 2007.  Note: For hyper-authorship publications with more than 100 authors the export does not include author names and affiliations. © 2024 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Funding,Source title,Anthology title,Book editors,MeSH terms,Publication date,PubYear,Publication date (online),Publication date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
9271,pub.1006097431,10.1128/cvi.00371-06,17329445,PMC1865631,"Antibody Responses Are Generated to Immunodominant ELK/KLE-Type Motifs on the Nonstructural-1 Glycoprotein during Live Dengue Virus Infections in Mice and Humans: Implications for Diagnosis, Pathogenesis, and Vaccine Design▿","Antibodies generated to the purified dengue type 2 virus (D-2V) nonstructural-1 (NS1) protein in mice and rabbits were compared with those generated to this protein in congeneic (H-2 class II) mouse strains and humans after D-2V infections. Unlike the profiles observed with the rabbits, similar antibody reaction profiles were generated by mice and humans with severe D-2V disease (dengue hemorrhagic fever [DHF]/dengue shock syndrome [DSS]). Many of these epitopes contained the core acidic-hydrophobic-basic (tri-amino-acid; ELK-type) motifs present in the positive or negative orientations. Antibody responses generated to these ELK/KLE-type motifs and the epitope LX1 on this protein were influenced by class II molecules in mice during D-2V infections; but these antibodies cross-reacted with human fibrinogen and platelets, as implicated in DHF/DSS pathogenesis. The core LX1 epitope (113YSWKTWG119), identified by the dengue virus complex-specific monoclonal antibody (MAb) 3D1.4, was prepared so that it contained natural I-Ad-binding and ELK-type motifs. This AFLX1 peptide, which appropriately displayed the ELK-type and LX1 epitopes in solid-phase immunoassays, generated a similar, but lower, immunodominant anti-ELK-motif antibody reaction in I-Ad-positive mice, as generated in mice and humans during D-2V infections. These antibody responses were much stronger in the high-responding mouse strains and each of the DHF/DSS patients tested and may therefore account for the association of DHF/DSS resistance or susceptibility with particular class II molecules and autoantibodies, antibody-stimulating cytokines (e.g., interleukin-6), and complement product C3a being implicated in DHF/DSS pathogenesis. These results are likely to be important for the design of a safe vaccine against this viral disease and showed the AFLX1 peptide and MAb 3D1.4 to be valuable diagnostic reagents.","This work received financial support from the Sir Jules Thorn Charitable Trust and the Instituto Colombiano para el Desarrollo de la Ciencia y la Technologia Francisco Jose de Caldas (COLCIENCIAS) (grant 1215-04-14364). I thank M. A. Miles (LSH&amp;TM, United Kingdom) and Claudia M. E. Romero-Vivas (Uninorte, Colombia) for helpful advice.",,mSphere,,,"Amino Acid Motifs; Animals; Antibodies, Monoclonal; Antibodies, Viral; Antigens, Neoplasm; Autoantibodies; Dengue; Dengue Vaccines; Dengue Virus; Epitopes; Humans; Mice; Rabbits; Severe Dengue; Viral Nonstructural Proteins; Viral Vaccines; Virus Diseases",2007-02-28,2007,2007-02-28,2007-05,14,5,493-504,All OA; Gold,Article,"Falconar, Andrew K. I.","Falconar, Andrew K. I. (Department of Infectious and Tropical Diseases, London School of Hygiene and Tropical Medicine, Keppel Street, London WC1E 7HT, United Kingdom, and Grupo de Investigaciones en Enfermedades Tropicales, Departamento de Ciencias Básicas Médicas, Universidad del Norte, Km5 via Puerto Colombia, Barranquilla, Colombia)","Falconar, Andrew K. I. (London School of Hygiene & Tropical Medicine; Universidad del Norte)","Falconar, Andrew K. I. (London School of Hygiene & Tropical Medicine; Universidad del Norte)",57,2,1.39,3.96,https://doi.org/10.1128/cvi.00371-06,https://app.dimensions.ai/details/publication/pub.1006097431,31 Biological Sciences; 3107 Microbiology,3 Good Health and Well Being
8984,pub.1025240019,10.1128/cvi.00351-07,18160621,PMC2268263,Monoclonal Antibodies That Bind to Common Epitopes on the Dengue Virus Type 2 Nonstructural-1 and Envelope Glycoproteins Display Weak Neutralizing Activity and Differentiated Responses to Virulent Strains: Implications for Pathogenesis and Vaccines▿,"The abilities of monoclonal antibodies (MAbs) that bind to defined sequential epitopes on the dengue virus (DENV) nonstructural-1 (NS1) glycoproteins to cross-react with epitopes on the DENV envelope (E) glycoproteins were investigated. In this study, some of these MAbs cross-reacted with the DENV type 2 (DENV-2) E glycoprotein and with synthetic peptides representing X-ray crystallographically confirmed surface-exposed regions on this glycoprotein. MAb 1G5.3 cross-reacted with the flavivirus-conserved 101-WGNGCGLFG-109 fusion sequence, the 273-SSGNL-277 DENV-2 hinge region sequence, and the 156-GKHGKEIKIT-165 sequence of virulent DENV-2 strains. MAb 1G5.4-A1-C3 cross-reacted with the 67-NTTTESRCPT-76 and 156-GKHGKEIKIT-165 sequences of virulent DENV-2 strains, the 338-EIMDLDNRHV-347 sequence from a highly virulent DENV-2 (M2) strain, and two epitopes on a virulent DENV-3 strain (288-KMDKLELKG-296 and 323-RVEYRGEDAP-332), which all contained target ELK/KLE-type motifs (underlined). These MAbs showed reduced cross-reactions with the corresponding sequences from weakly pathogenic strains of all four DENV serotypes and had either no (MAb 1G5.4-A1-C3) or weak (MAb 1G5.3) neutralizing activity against them. MAb 1G5.3 more strongly neutralized DENV-2 strains with higher pathogenic capacities, while MAb 1G5.4-A1-C3 showed increasing neutralizing titers against the virulent DENV-3 strain and the moderately virulent and highly virulent (M2) DENV-2 strains. These cross-reactions with the E glycoprotein accord with the observation that MAb 1G5.3 caused dramatic and lethal antibody-enhanced replication (AER) of a DENV-2 strain in vivo. Together with in vivo AER studies of these DENV strains using MAb 1G5.4-A1-C3, these results may account for the increased pathogenic capacities of such strains, which is likely to have important implications for pathogenesis and vaccines.","This work received financial support from the Sir Jules Thorn Charitable Trust and the Instituto Colombiano para el Desarrollo de la Ciencia y la Technologia Francisco Jose de Caldas (COLCIENCIAS) (no. 1215-04-14364). I thank C. M. E. Romero-Vivas (Uninorte, Colombia) for helpful advice, M. A. Miles (LSH&amp;TM, United Kingdom) for critically reviewing the manuscript, and two anonymous reviewers for their very valuable suggestions.",,mSphere,,,"Aedes; Animals; Antibodies, Monoclonal; Antibodies, Viral; Cells, Cultured; Chlorocebus aethiops; Cross Reactions; Dengue Vaccines; Dengue Virus; Enzyme-Linked Immunosorbent Assay; Epitopes; Immunoblotting; Neutralization Tests; Vero Cells; Viral Envelope Proteins; Viral Nonstructural Proteins; Virulence",2007-12-26,2007,2007-12-26,2008-03,15,3,549-561,All OA; Gold,Article,"Falconar, Andrew K. I.","Falconar, Andrew K. I. (Department of Infectious and Tropical Diseases, London School of Hygiene and Tropical Medicine, Keppel Street, London WC1E 7HT, United Kingdom, and Grupo de Investigaciones en Enfermedades Tropicales, Departamento de Ciencias Basicas Medicas, Universidad del Norte, Barranquilla, Colombia)","Falconar, Andrew K. I. (London School of Hygiene & Tropical Medicine; Universidad del Norte)","Falconar, Andrew K. I. (London School of Hygiene & Tropical Medicine; Universidad del Norte)",35,3,0.79,2.43,https://doi.org/10.1128/cvi.00351-07,https://app.dimensions.ai/details/publication/pub.1025240019,31 Biological Sciences; 3107 Microbiology,3 Good Health and Well Being
8213,pub.1009625178,10.1080/09593332808618840,17674653,,AN EXPERIMENTAL STUDY FOR BIOLOGICAL NITROGEN REMOVAL AND CONTROL STRATEGIES IN A SEQUENCING BATCH REACTOR (SBR),"The aim of this work is to present an overview about an experimental study for biological nitrogen removal implemented in a pilot-scale plant, located in the Universidad Del Norte in Barranquilla, Colombia. This plant was studied in two different periods. The first period, which was carried out in 90 days, was dedicated to study the influence of the daily variations on the influent and effluent wastewater, and prove some control routines for nitrogen removal. In the second period, which was carried out in 120 days, the removal process was optimized with the addition of acetic acid as an external carbon source, and the implementation of the final control strategy was performed based on the results of the previous period.",,,Environmental Technology,,,"Biodegradation, Environmental; Bioreactors; Hydrogen-Ion Concentration; Nitrogen; Oxidation-Reduction; Oxygen; Pilot Projects; Waste Disposal, Fluid; Water Pollutants, Chemical",2007-07,2007,,2007-07,28,7,793-798,Closed,Article,"Manga, J; Venegas, C; Palma-Acosta, M J; Abad, D","Manga, J (Water Technology Research Group, Departamento de Ingeniería Civil, Universidad del Norte, Km 5 Antigua Vía a Puerto Colombia, Barranquilla, Colombia.); Venegas, C (); Palma-Acosta, M J (); Abad, D ()","Manga, J (Universidad del Norte); Venegas, C (); Palma-Acosta, M J (); Abad, D ()","Manga, J (Universidad del Norte); Venegas, C (); Palma-Acosta, M J (); Abad, D ()",1,0,,0.08,,https://app.dimensions.ai/details/publication/pub.1009625178,40 Engineering; 4004 Chemical Engineering; 4011 Environmental Engineering,
7109,pub.1039473307,10.1016/j.isatra.2006.04.002,17291502,,Fuzzy surface-based sliding mode control,A new controller based on a combination of Sliding Mode Control and Fuzzy Logic is proposed. The conventional sliding surface is modified using a set of fuzzy rules. This combination confers controller robustness and flexibility. A neutralization process and a mixing process are used to compare the performance of the new controller to that of a conventional sliding mode controller and a PID controller.,,,ISA Transactions,,,,2007-02-08,2007,2007-02-08,2007-02,46,1,73-83,Closed,Article,"Iglesias, E.; García, Y.; Sanjuan, M.; Camacho, O.; Smith, C.","Iglesias, E. (Escuela de Ingeniería Química, Universidad de los Andes, Mérida, Venezuela); García, Y. (Escuela de Ingeniería Química, Universidad de los Andes, Mérida, Venezuela); Sanjuan, M. (Departamento de Ingeniería Mecánica, Universidad del Norte, Barranquilla, Colombia); Camacho, O. (Escuela de Ingeniería Química, Universidad de los Andes, Mérida, Venezuela); Smith, C. (Chemical Engineering Department, University of South Florida, Tampa, FL, USA)","Smith, C. (University of South Florida)","Iglesias, E. (University of the Andes); García, Y. (University of the Andes); Sanjuan, M. (Universidad del Norte); Camacho, O. (University of the Andes); Smith, C. (University of South Florida)",30,3,0.28,9.24,,https://app.dimensions.ai/details/publication/pub.1039473307,"40 Engineering; 4009 Electronics, Sensors and Digital Hardware",
4214,pub.1045253107,10.1263/jbb.104.391,18086439,,Comparisons of Growth and Biochemical Composition between Mixed Culture of Alga and Yeast and Monocultures,"The alga Isochrysis galbana 8701 and the yeast Ambrosiozyma cicatricosa were mix-cultivated in the same medium for 7 d to compare their growth performance and biochemical composition with those of the same organisms cultured under monoculture conditions. The specific growth rates of both species were significantly higher (p<0.05) in the mixed culture than in the monocultures during the corresponding experimental phases. At the end of experiment, the biomass concentration obtained in the mixed culture reached 1.32+/-0.04 g/l of dry weight, which was significantly higher (p<0.05) than those obtained in monocultures, and the alga I. galbana in the mixed culture dominated the cell numbers making up 96.64% of the cells. The biochemical profile of the mixed culture is similar to that of the I. galbana monoculture with some variations; The percentages of both the fatty acids 14:00 and 18:00 detected in the mixed culture were significantly higher (p<0.05) than those detected in the I. galbana monoculture, while the content of the fatty acid 18:2(n-6) detected in the mixed culture was significantly lower (p<0.05) than that detected in the I. galbana monoculture. This study indicates the improved growth performance in mixed culture compared with monocultures and the similarities between the biochemical compositions of the mixed culture and the I. galbana monoculture.",AcknowledgmentsThe authors are grateful to Professor ShiChun Sun of the Ocean University of China for providing the alga used in this study.,,Journal of Bioscience and Bioengineering,,,Coculture Techniques; Eukaryota; Saccharomycetales,2007-01,2007,,2007-01,104,5,391-397,Closed,Article,"Cai, Shiqing; Hu, Chaoqun; Du, Shaobo","Cai, Shiqing (Key Laboratory of Applied Marine Biology of Guangdong Province (LAMB), South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou 510301, People’s Republic of China); Hu, Chaoqun (Key Laboratory of Applied Marine Biology of Guangdong Province (LAMB), South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou 510301, People’s Republic of China); Du, Shaobo (Key Laboratory of Applied Marine Biology of Guangdong Province (LAMB), South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou 510301, People’s Republic of China)","Hu, Chaoqun (South China Sea Institute Of Oceanology)","Cai, Shiqing (South China Sea Institute Of Oceanology); Hu, Chaoqun (South China Sea Institute Of Oceanology); Du, Shaobo (South China Sea Institute Of Oceanology)",48,4,0.66,,,https://app.dimensions.ai/details/publication/pub.1045253107,31 Biological Sciences,
4002,pub.1000664268,10.1157/13098935,17306104,,"Sildenafilo oral en medicina neonatal “Investigado para adultos, usado también por neonatos”",,,,Anales de Pediatría,,,"Administration, Oral; Humans; Infant, Newborn; Patient Selection; Persistent Fetal Circulation Syndrome; Phosphodiesterase Inhibitors; Piperazines; Purines; Sildenafil Citrate; Sulfones",2007-02,2007,,2007-02,66,2,167-176,Closed,Article,"Sola, A.; Baquero, H.","Sola, A. (Mid Atlantic Neonatology Associates and Morristown Memorial Hospital. Morristown NJ); Baquero, H. (Servicio de Neonatología. Universidad del Norte. Barranquilla. Colombia)","Sola, A. (Morristown Medical Center)","Sola, A. (Morristown Medical Center); Baquero, H. (Universidad del Norte)",11,0,0.13,2.03,,https://app.dimensions.ai/details/publication/pub.1000664268,32 Biomedical and Clinical Sciences; 3213 Paediatrics; 3215 Reproductive Medicine,
3544,pub.1051518953,10.1016/j.ehb.2006.10.004,17222593,,"The biological standard of living (and its convergence) in Colombia, 1870–2003 A tropical success story","During the 20th century, the evolution of the biological standard of living in Colombia was a tropical success story from the point of view of the secular increase in height as well as the reduction of inequality. During the period 1905-1985 the average height of females and males increased by nearly 9 cm on the basis of 9 million records examined from National Identification Cards. We also study the evolution of height of Colombians on the basis of passport records. The elite group of passport holders was much taller than average, and remained stable for the birth cohorts of 1870-1919. In the early 20th century the height of passport recipients was 168.7 cm (men) and 158 cm (women) compared with 162 cm and 150 cm for heights in the national ID cards. The results also show that Colombians experienced significant regional and intrapersonal convergence in height.","AcknowledgementsArchivo General de la Nación and Ministry of Foreign Relations provided records of passports. Registraduría Nacional del Estado Civil provided Digital Database of Colombian citizenship card.Authors also acknowledge the collaboration of Miguel Urrutia, David Zabala, Francisco Rivas, Diana Mejía, and Camilo Morales, and comments by Javier Perez, Haroldo Calvo, and Julio Romero.",,Economics & Human Biology,,,"Body Height; Colombia; Economics; Female; History, 19th Century; History, 20th Century; History, 21st Century; Homicide; Humans; Income; Male; Small-Area Analysis; Socioeconomic Factors; Time Factors",2007-01-10,2007,2007-01-10,2007-03,5,1,100-122,Closed,Article,"Meisel, Adolfo; Vega, Margarita","Meisel, Adolfo (Banco de la República (Central Bank of Colombia), Centro de Estudios Económicos Regionales CEER, Centro Calle 33 #3-123, Cartagena, Colombia); Vega, Margarita (Banco de la República (Central Bank of Colombia), Centro de Estudios Económicos Regionales CEER, Centro Calle 33 #3-123, Cartagena, Colombia)","Meisel, Adolfo (Banco de la República Colombia)","Meisel, Adolfo (Banco de la República Colombia); Vega, Margarita (Banco de la República Colombia)",47,2,1.04,15.8,,https://app.dimensions.ai/details/publication/pub.1051518953,38 Economics; 3801 Applied Economics,
3538,pub.1037676947,10.1002/ajpa.20633,17530696,,Morphological differentiation of aboriginal human populations from Tierra del Fuego (Patagonia): Implications for South American peopling,"This study aims to integrate the craniofacial morphological variation of southern South American populations with the results of mtDNA haplogroup variation, to discuss the South America peopling. Because the causes of morphological differentiation of Fueguian populations are still a controversial subject, the comparison with neutral variation could contribute to elucidate them. Samples of human remains from South America regions were used to analyze the evolutionary relationships. Several craniofacial traits observed in frontal and lateral view were analyzed by means of geometric morphometrics techniques, and the evolutionary relationships based on morphological and molecular data were established in base to ordination analyses. The results from the facial skeleton agree with those obtained from mtDNA haplogroup frequencies, with La Pampa/Chaco samples detached from the Patagonian samples. Hence, the same mechanism that accounts for the pattern of frequency of haplogroups could explain the variation found in facial skeleton among the samples. It is suggested that such geographic pattern of craniofacial and molecular diversity may reflect the effect of genetic drift that occurred in the small founding populations isolated by distance or geographic barriers. Conversely, the results obtained using the traits from the lateral view slightly differ from the molecular results, showing differences between southernmost Patagonian and the other samples. Therefore, mechanisms other than genetic drift (e.g., natural selection) could have acted to shape the pattern observed in some craniofacial structures present in the lateral view, characterized by the fact that the southernmost Patagonian samples display the most robust and dolichocephalic crania.",,,American Journal of Biological Anthropology,,,"Adolescent; Adult; Cephalometry; DNA, Mitochondrial; Female; Geography; Haplotypes; History, Ancient; Humans; Indians, South American; Male; Middle Aged; Population Dynamics; Skull; South America",2007-05-25,2007,2007-05-25,2007-08,133,4,1067-1079,Closed,Article,"Perez, S. Ivan; Bernal, Valeria; Gonzalez, Paula N.","Perez, S. Ivan (CONICET, División Antropología, Facultad de Ciencias Naturales y Museo, Universidad Nacional de La Plata, La Plata 1900, Buenos Aires, Argentina); Bernal, Valeria (CONICET, División Antropología, Facultad de Ciencias Naturales y Museo, Universidad Nacional de La Plata, La Plata 1900, Buenos Aires, Argentina); Gonzalez, Paula N. (CONICET, División Antropología, Facultad de Ciencias Naturales y Museo, Universidad Nacional de La Plata, La Plata 1900, Buenos Aires, Argentina)","Perez, S. Ivan (National University of La Plata)","Perez, S. Ivan (National University of La Plata); Bernal, Valeria (National University of La Plata); Gonzalez, Paula N. (National University of La Plata)",45,2,0.83,8.58,,https://app.dimensions.ai/details/publication/pub.1037676947,"31 Biological Sciences; 3105 Genetics; 43 History, Heritage and Archaeology; 4301 Archaeology; 44 Human Society; 4401 Anthropology",
3201,pub.1041594482,10.1002/ajpa.20619,17503449,,Thoracic skeletal morphology and high‐altitude hypoxia in Andean prehistory,"Living humans from the highland Andes exhibit antero-posteriorly and medio-laterally enlarged chests in response to high-altitude hypoxia. This study hypothesizes that morphological responses to high-altitude hypoxia should also be evident in pre-Contact Andean groups. Thoracic skeletal morphology in four groups of human skeletons (N = 347) are compared: two groups from coastal regions (Ancón, Peru, n = 79 and Arica, Chile, n = 123) and two groups from high altitudes (San Pedro de Atacama, Chile, n = 102 and Machu Picchu and Cuzco, Peru, n = 43). Osteometric variables that represent proportions of chest width and depth include sternal and clavicular lengths and breadths and rib length, curvature, and area. Each variable was measured relative to body size, transformed into logarithmic indices, and compared across sex-specific groups using ANOVA and Tukey multiple comparison tests. Atacama highlanders have the largest sternal and clavicular proportions and ribs with the greatest area and least amount of curvature, features that suggest an antero-posteriorly deep and mediolaterally wide thoracic skeleton. Ancón lowlanders exhibit proportions indicating narrower and shallower chests. Machu Picchu and Cuzco males cluster with the other highland group in rib curvature and area at the superior levels of the thorax, whereas chest proportions in Machu Picchu and Cuzco females resemble those of lowlanders. The variation in Machu Picchu and Cuzco males and females is interpreted as the result of population migrations. The presence of morphological traits indicative of enlarged chests in some highland individuals suggests that high-altitude hypoxia was an environmental stressor shaping the biology of highland Andean groups during the pre-Contact period.",,,American Journal of Biological Anthropology,,,Acclimatization; Altitude; Biological Evolution; Body Weights and Measures; Chile; Clavicle; Female; Humans; Hypoxia; Male; Peru; Thorax,2007-05-14,2007,2007-05-14,2007-09,134,1,36-49,Closed,Article,"Weinstein, Karen J.","Weinstein, Karen J. (Department of Anthropology, Dickinson College, Carlisle, PA 17013)","Weinstein, Karen J. (Dickinson College)","Weinstein, Karen J. (Dickinson College)",29,4,0.54,9.89,,https://app.dimensions.ai/details/publication/pub.1041594482,"31 Biological Sciences; 43 History, Heritage and Archaeology; 4301 Archaeology; 44 Human Society; 4401 Anthropology",
2962,pub.1029715080,10.1016/j.physb.2007.04.079,,,First-principles calculations of structural properties of Sc1-xInxN compound,"We have applied the full-potential linearized augmented plane wave method (FP-LAPW) within the density functional theory to investigate the structural properties of Sc1-xInxN compound in sodium chloride and wurtzite structures. We have found that the lattice parameter (a) increases with the increment of the In-composition in both structures, while the bulk modulus diminishes with the increase of the In-composition. The lattice constant and the bulk modulus present a small bowing in both structures. We have also analyzed the relative stability of this ternary compound in the two studied phases. We have found that sodium chloride structure is the ground state phase for a In-composition range 0⩽x<0.5, while the wurtzite structure is most stable in the range 0.5⩽x⩽1. The results for the binary compounds are in good agreement with the experimental data.","AcknowledgmentsThe authors wish to thank to Dr. Peter Blaha for help. We thank to COLCIENCIAS, DINAIN-UNAL, UNINORTE, Red Macro-U.A.L. and DGAPA project IN104803-3 for their financial support during the realization of this work.",,Physica B Condensed Matter,,,,2007-09,2007,,2007-09,398,2,385-388,Closed,Article,"Pérez, William López; M, Jairo Arbey Rodríguez; Moreno-Armenta, María G.","Pérez, William López (Escuela de Ciencia y Tecnología, Universidad de San Martín, Campus Miguelete-Edificio Tornavías, Martín de Irigoyen 3100, San Martín, Argentina Departamento de Matemáticas y Física, Universidad del Norte, A. A. 1569, Barranquilla, Colombia); M, Jairo Arbey Rodríguez (Departamento de Física, C. A. C., Comisión Nacional de Energía Atómica, San Martín, Argentina Departamento de Física, Universidad Nacional de Colombia, A. A. 5997, Bogotá, Colombia); Moreno-Armenta, María G. (Departamento de Física ""J.J. Giambiagi"", FCEyN, Universidad de Buenos Aires, Pabellón I, Cdad Universitaria, Argentina Centro de Ciencias de la Materia Condensada, Universidad Nacional Autónoma de México, A. P. 2681, Ensenada Baja California 22800, México)","Pérez, William López (Universidad del Norte)","Pérez, William López (Universidad del Norte); M, Jairo Arbey Rodríguez (National University of Colombia); Moreno-Armenta, María G. (National Autonomous University of Mexico)",3,0,,0.59,,https://app.dimensions.ai/details/publication/pub.1029715080,51 Physical Sciences; 5104 Condensed Matter Physics,
