"About the data: Exported on Sep 30, 2024. Criteria: '""Universidad del Norte"" OR ""universidad del norte"" OR ""University of the North"" OR ""university of the north"" OR ""Uninorte"" OR ""uninorte""' in full data; Publication Year is 2010; Publication Type is Proceeding or Edited Book or Preprint or Monograph.  Note: For hyper-authorship publications with more than 100 authors the export does not include author names and affiliations. © 2024 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Funding,Source title,Anthology title,Book editors,MeSH terms,Publication date,PubYear,Publication date (online),Publication date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
3117,pub.1093512972,10.1109/icetc.2010.5530055,,,Top education across the ITC from the sector of the social economy,"We present a functional and useful case in the province of Toledo, in a credit union: Caja Rural de Toledo and his Foundation on the cooperative education and other segments of the population and society to improve the level of Social Economy through a project based on the theories that are posted on e-learning, and the features it has to have to be useful depending on the range of training that have the interest. This theoretical presentation shows tests that have been made since the Foundation Caja Rural de Toledo and the use that is being given to E-Learning Platform itself for those groups that assist the main financial institution: Caja Rural de Toledo.",,,,2010 2nd International Conference on Education Technology and Computer,,,2010-06,2010,,,5,,v5-354-v5-358,Closed,Proceeding,"Guerra, Ignacio Ruiz; López, Víctor Manuel Martín; Moreno, Valentín Molina","Guerra, Ignacio Ruiz (Cooperative Research Chair, University of Castilla-La Mancha, Toledo, Spain); López, Víctor Manuel Martín (Caja Rural de Toledo, Toledo, Spain); Moreno, Valentín Molina (University of Granada, Granada, Spain)",,"Guerra, Ignacio Ruiz (University of Castilla-La Mancha); López, Víctor Manuel Martín (Caja Rural de Toledo, Toledo, Spain); Moreno, Valentín Molina (University of Granada)",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1093512972,"32 Biomedical and Clinical Sciences; 3202 Clinical Sciences; 35 Commerce, Management, Tourism and Services",4 Quality Education
3044,pub.1093345729,10.1109/andescon.2010.5631576,,,Intelligent erratic driving diagnosis based on artificial neural networks,"This paper presents an intelligent system to perform an erratic driving diagnosis. The proposed approach takes into account the analysis of the signals that could be acquired from modern on-board diagnostic systems (OBD-II), global positioning systems (GPS) and other localization sensors. Diagnosis of erratic driving could be essential to reduce accident rates, because of several applications that may result based on it. The overall process can be summarized in three steps. First, extraction of suitable signals (throttle, brake, steering, velocity, location) related to driver actions. Secondly, mathematical processing of the above signals for a proper utilization by the intelligent system. Finally, driving faults detection and overall performance rating based on artificial neural networks. Experimental results show the feasibility and reliability of the proposed approach in different driving situations.",,,,2010 IEEE ANDESCON,,,2010-09,2010,,,,,1-6,Closed,Proceeding,"Quintero, G. Christian M.; Lopez, Jose A. Onate; Rua, Juan M. Perez","Quintero, G. Christian M. (Electrical and Electronics Engineering Department, Universidad Del Norte, Barranquilla, Colombia); Lopez, Jose A. Onate (Universidad Del Norte, Barranquilla, Colombia); Rua, Juan M. Perez (Universidad Del Norte, Barranquilla, Colombia)",,"Quintero, G. Christian M. (Universidad del Norte); Lopez, Jose A. Onate (Universidad del Norte); Rua, Juan M. Perez (Universidad del Norte)",20,1,,5.21,,https://app.dimensions.ai/details/publication/pub.1093345729,"40 Engineering; 4007 Control Engineering, Mechatronics and Robotics; 4010 Engineering Practice and Education; 46 Information and Computing Sciences; 4602 Artificial Intelligence; 4605 Data Management and Data Science",
2143,pub.1097227647,10.1061/41121(388)34,,,"Design of River Training Structures Using Morphological Modeling in the Magdalena River, Colombia","The Magdalena River is the second longest river in South America and is home to the Port of Barranquilla, one of the largest Colombian Ports. A numerical model including hydrodynamics, sediment transport, and morphological updating was constructed using Delft3D. This was implemented in order to design river training structures that would deepen the navigation channel to the port, allowing it to accommodate larger ships and become more competitive in the region. The existing model was enhanced and re-validated to conditions during the project construction. It was then employed to re-evaluate and modify the structural design during construction of the system. It was found that the response of the system to the construction was slightly different than was originally expected and the design was modified to incorporate this response. This adaptive modeling approach can be useful in determining the most effective design for projects with a phased construction.",,,,Estuarine and Coastal Modeling (2009),,,2010-09-27,2010,2012-04-26,2010-09-27,,,566-581,Closed,Proceeding,"Schmied, L.; Cañizares, R.","Schmied, L. (Moffatt and Nichol, 11011 Richmond Ave Suite 200, Houston TX 77042.E-mail:, lschmied@moffattnichol.com); Cañizares, R. (Moffatt and Nichol, 104 W. 40, St, 14, Floor, New York, NY 10018.E-mail:, rcanizares@moffattnichol.com)",,"Schmied, L. (Moffatt and Nichol, 11011 Richmond Ave Suite 200, Houston TX 77042.E-mail:, lschmied@moffattnichol.com); Cañizares, R. (Moffatt and Nichol, 104 W. 40, St, 14, Floor, New York, NY 10018.E-mail:, rcanizares@moffattnichol.com)",1,0,,0.31,,https://app.dimensions.ai/details/publication/pub.1097227647,33 Built Environment and Design; 3302 Building; 40 Engineering,
2017,pub.1092899754,10.1115/imece2010-40778,,,A Matlab® GUI (Graphical User Interface) for Generating the Inverse Dynamic Model for Industrial Manipulator Until Five Degrees of Freedom,"A Graphical User Interface program in Matlab® for generating the inverse dynamic non linear model of industrial manipulator in symbolic form is presented, that is, the joint torques required for a given set of joint angles, velocities and accelerations of the end -effector. The program, called RIDMD (Robotic Inverse Dynamic Modeling Deduction), is an application of Newton-Euler (NE) Recursive Methods to the derivation of closed form dynamic equations of robots, considered as a group of rigid bodies connected by suitable single degree-of-freedom (DOF) joints. The general procedure implemented in the program in order to calculated the model, begin estimating the Denavit-Hartenberg parameter, selecting a frame attached to each link of the robot arm and calculating the transformation matrix, which is a homogeneous transformation matrix that expresses the position and orientation of consecutives frames of reference for the robot. In addition, the kinematic inicial condition for the first link is determinate, and the kinematic variables transformation is developed, for prismatic or sliding joint. Finally, the force and torque transformation is solved with the program, which is transparent to the user and allows the symbolic calculation of dynamical models until five DOF.Copyright © 2010 by ASME",,,,"Volume 11: New Developments in Simulation Methods and Software for Engineering Applications; Safety Engineering, Risk Analysis and Reliability Methods; Transportation Systems",,,2010-01-01,2010,2012-04-30,2010-01-01,,,187-192,Closed,Proceeding,"Valencia, Guillermo E.; Turizo, John C.; Sanjuan, Marco E.","Valencia, Guillermo E. (Universidad del Norte, Barranquilla, Colombia); Turizo, John C. (Universidad del Norte, Barranquilla, Colombia); Sanjuan, Marco E. (Universidad del Norte, Barranquilla, Colombia)",,"Valencia, Guillermo E. (Universidad del Norte); Turizo, John C. (Universidad del Norte); Sanjuan, Marco E. (Universidad del Norte)",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1092899754,"33 Built Environment and Design; 3303 Design; 40 Engineering; 4007 Control Engineering, Mechatronics and Robotics; 4010 Engineering Practice and Education; 46 Information and Computing Sciences",
1902,pub.1092982666,10.1115/imece2010-40667,,,Fault Detection of a Water Loop Refrigerating System Using Multivariate Statistics,"This paper describes the use of statistical fault detection techniques to improve energy management in a large water loop refrigerating system (WLRS). The water loop has one centrifugal chiller with specified capacity of 420TR in parallel with another screw chiller with specified capacity of 420 TR, feeding several buildings to control the temperature inside them through condenser units. Multivariate statistical fault detection techniques such as Principal Component Analysis (PCA) were used, in order to analyze the historical data from the system to detect abnormal situations, by means of statistical measures such as Square Prediction Error (SPE) and T2., Finally, using this expertise of plant engineers were used to determine the fault causes, and results will be used to prevent future abnormal conditions.Copyright © 2010 by ASME",,,,"Volume 5: Energy Systems Analysis, Thermodynamics and Sustainability; NanoEngineering for Energy; Engineering to Address Climate Change, Parts A and B",,,2010-01-01,2010,2012-04-30,2010-01-01,,,1383-1386,Closed,Proceeding,"Posada, José; Solano, José; Sanjuan, Marco","Posada, José (Universidad del Norte, Barranquilla, Colombia); Solano, José (Universidad del Norte, Barranquilla, Colombia); Sanjuan, Marco (Universidad del Norte, Barranquilla, Colombia)",,"Posada, José (Universidad del Norte); Solano, José (Universidad del Norte); Sanjuan, Marco (Universidad del Norte)",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1092982666,"40 Engineering; 4007 Control Engineering, Mechatronics and Robotics; 4010 Engineering Practice and Education",7 Affordable and Clean Energy
1862,pub.1092782462,10.1115/es2010-90291,,,Simulation by Means Computational Fluids Dynamics of the Mixing Process Air-Natural Gas in a Turbocharger Diesel Engine,"Diesel buses of public transportation in the main cities of Colombia are formed by turbocharger engines, such machines could operate in dual Diesel-NG way using the gaseous fuel as main energy source and the liquid fuel to pilot ignition of the air-NG mixture previously formed. This research is centered on the studies about formation process of the mixture in the intake system in a turbocharger dual engine. In this study the transport equations are established, it is associated to the fluids which enter to the intake engine during a period of engine operation. This model is simulated by means of CFD tools, using an electronic injector to provide natural gas. Also it is considered the fluidynamic behavior of mixture. Finally an experimental design applied to the simulations is made with the goal of optimize operational conditions of the injector that allow to get the most homogeneous mixture on the inlet runner to one of the cylinders engine. This mixture was obtained injecting natural gas at a pressure of 10 bars and placing the injector as close to the intake manifold.Copyright © 2010 by ASME",,,,"ASME 2010 4th International Conference on Energy Sustainability, Volume 1",,,2010-01-01,2010,2010-12-22,2010-01-01,,,747-759,Closed,Proceeding,"Bermejo, Fabio A.; Corredor, Lesme A.","Bermejo, Fabio A. (Universidad del Norte, Barranquilla, Colombia); Corredor, Lesme A. (Universidad del Norte, Barranquilla, Colombia)",,"Bermejo, Fabio A. (Universidad del Norte); Corredor, Lesme A. (Universidad del Norte)",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1092782462,40 Engineering; 4002 Automotive Engineering; 4017 Mechanical Engineering,13 Climate Action
1857,pub.1094719361,10.1109/latincom.2010.5640995,,,Method for Experimental Model Design of Quality of Services,"This paper presents the summary of a method proposal for designing Quality of Services Models in Networks. The proposal consists of several steps where Real System is defined and specified with the hypothesis and the problem which will be solved by the model; then, the model is defined, taking it into account as a real system abstraction, and ends with the implementation and simulation of the model. In the second part of the paper the design of a Quality of Service model for Next Generation Networking is presented as study case, showing in a synthetic way many of the obtained results.","This paper is part of the partial results of awarded projects under the contracting reference UN-OJ-2008-06718, and UN-OJ-2008-06718 supported by Dirección de Investigaciones y Proyectos (DIP) and Fundación Universidad del Norte, Barranquilla, Colombia",,,2010 IEEE Latin-American Conference on Communications,,,2010-09,2010,,,,,1-6,Closed,Proceeding,"G, Carolina Támara; C, Josheff David; M, Paul Sanmartin; D, José Márquez","G, Carolina Támara (Departamento de Ingeniería de, Sistemas y Computación, Fundación Universidad del, Norte, Barranquilla, Colombia); C, Josheff David (Departamento de Ingeniería de, Sistemas y Computación, Fundación Universidad del, Norte, Barranquilla, Colombia); M, Paul Sanmartin (Departamento de Ingeniería de, Sistemas y Computación, Fundación Universidad del, Norte, Barranquilla, Colombia); D, José Márquez (Departamento de Ingeniería de, Sistemas y Computación, Fundación Universidad del, Norte, Barranquilla, Colombia)",,"G, Carolina Támara (Universidad del Norte); C, Josheff David (Universidad del Norte); M, Paul Sanmartin (Universidad del Norte); D, José Márquez (Universidad del Norte)",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1094719361,40 Engineering; 4010 Engineering Practice and Education; 46 Information and Computing Sciences,
1776,pub.1094137155,10.1109/cerma.2010.105,,,Model of QoS on NGN: An Analysis of Performance,"This paper presents a Model of Quality of Service (QoS) for Next Generation Networks (NGN), that consist of a tower of five defined layers such as the Model Layer of QoS, Control of Admission, QoS in the Routing, QoS in the Signaling, and MAC QoS. In addition, the model raises a method based on the concept of segregation of functions defining two functional networks along with the tasks of QoS. Then, the policies of Access Control, the protocols and the algorithms of signaling, and routing, as well as the aspects related to media access were established. In order to verify the performance of the model, a Design of Experiments on a NGN Pilot on simulation tool OPNET Modeler was conducted. The statistical analysis consisted of an analysis of variance on the output variables Delay, Jitter and Throughput, whose outcome determined the significant factors that impacted the model metrics.","The authors grateful to “Dirección de Investigaciones y Proyectos” of “Fundación Universidad del Norte” in Barranquilla, Colombia, for supporting this research, in the agreement number UN-OJ-2008-06718, awarded in the program “VII Convocatoria Interna para Jóvenes Investigadores en el Marco de la Estrategia de Fortalecimiento de Grupos y Centros de Investigación” The authors grateful to “Dirección de Investigaciones y Proyectos” of “Fundación Universidad del Norte” in Barranquilla, Colombia, for supporting this research, in the agreement number UN-OJ-2008-06718, awarded in the program “VII Convocatoria Interna para Jóvenes Investigadores en el Marco de la Estrategia de Fortalecimiento de Grupos y Centros de Investigación”",,,"2010 IEEE Electronics, Robotics and Automotive Mechanics Conference",,,2010-09,2010,,,,,271-276,Closed,Proceeding,"David, Josheff C; Sanmartin, Paul M; Márquez, José D","David, Josheff C (); Sanmartin, Paul M (); Márquez, José D ()",,"David, Josheff C (); Sanmartin, Paul M (); Márquez, José D ()",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1094137155,46 Information and Computing Sciences; 4606 Distributed Computing and Systems Software,
1711,pub.1102293205,10.2139/ssrn.1681108,,,"Methodology for Measuring the Impact of Mobile Technology Change from 2° to 3° Generation, Perceived by SME's in Barranquilla Users","This article presents the results of a research project undertaken to obtain a Masters in Business Administration from the Business School at the Universidad del Norte, whose purpose was to identify and test a methodology to measure the impact exerted by the change from 2nd to 3rd generation mobile tech, based on the perception of users belonging to Barranquilla SME, motivated by the influence of technological changes in behavior and the knowledge creation among society members and the importance, it has taken to the survival of organizations, the adoption of applications for process automation, web-based applications, voice, data and video that allow the development of competitive advantages, based on information and creativity for new and better products or services.",,,SSRN Electronic Journal,,,,2010,2010,,,,,,All OA; Green,Preprint,"Cardona, Diego; González, Jairo Polo","Cardona, Diego (Universidad EAN); González, Jairo Polo (affiliation not provided to SSRN)",,"Cardona, Diego (Universidad EAN); González, Jairo Polo (affiliation not provided to SSRN)",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1102293205,"35 Commerce, Management, Tourism and Services; 3503 Business Systems In Context; 46 Information and Computing Sciences; 4609 Information Systems",
1683,pub.1095349162,10.1109/cerma.2010.54,,,Digital Image Processing for Classification of Coffee Cherries,"A machine vision-based classification system to sort coffee fruits (cherries) according their ripeness stage is presented. Eight categories were defined and they include the entire coffee-cherry ripening process, from the initial stage (early green) to over-ripe and dry stages. A Bayesian classifier was implemented using a set of nine features which include color, shape and texture computed on an image of the cherry, with a 96.88% of performance using the cross-validation approach.",The authors present their acknowledgment to Universidad Nacional de Colombia which partially funded this work under the project “Desarrollo de algoritmos para la clasificaciön de café cereza en el proceso de beneficio empleando técnicas de visión artificial”. The authors present their acknowledgment to Universidad Nacional de Colombia which partially funded this work under the project “Desarrollo de algoritmos para la clasificaciön de café cereza en el proceso de beneficio empleando técnicas de visión artificial”.,,,"2010 IEEE Electronics, Robotics and Automotive Mechanics Conference",,,2010-01-01,2010,,2010-01-01,,,417-421,Closed,Proceeding,"Sandoval, Zulma; Prieto, Flavio; Betancur, Julián","Sandoval, Zulma (Grupo de Investigación IET-UAC, Universidad Autónoma del Caribe, Barranquilla, Colombia); Prieto, Flavio (Grupo de Automática de la Universidad Nacional, Universidad Nacional de Colombia Sede Bogotá, Bogotá, Colombia); Betancur, Julián (Grupo de Telecomunicaciones y Señales, Fundación Universidad del Norte, Barranquilla, Colombia)",,"Sandoval, Zulma (Universidad Autónoma del Caribe); Prieto, Flavio (National University of Colombia); Betancur, Julián (Universidad del Norte)",11,3,,2.74,,https://app.dimensions.ai/details/publication/pub.1095349162,46 Information and Computing Sciences; 4603 Computer Vision and Multimedia Computation,
