"About the data: Exported on Sep 30, 2024. Criteria: '""Universidad del Norte"" OR ""universidad del norte"" OR ""University of the North"" OR ""university of the north"" OR ""Uninorte"" OR ""uninorte""' in full data; Publication Year is 2011; Publication Type is Chapter or Proceeding or Edited Book or Preprint or Monograph.  Note: For hyper-authorship publications with more than 100 authors the export does not include author names and affiliations. © 2024 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Funding,Source title,Anthology title,Book editors,MeSH terms,Publication date,PubYear,Publication date (online),Publication date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
2103,pub.1088819576,10.1115/1.859926.paper49,,,A Novel Ant Colony Inspired Algorithm for the Mono-Objective Optimization of Combinatorial Problems,,,,,International Conference on Computer and Computer Intelligence (ICCCI 2011),,,2011,2011,,,,,305-309,Closed,Chapter,"Nino, Elias D.; Orozco, Noelia; Daza, Ricardo; Barrera, Elizabeth; Correa, Luis; Ardila, Carlos; Nieto, Wilson","Nino, Elias D. (); Orozco, Noelia (); Daza, Ricardo (); Barrera, Elizabeth (); Correa, Luis (); Ardila, Carlos (); Nieto, Wilson ()",,"Nino, Elias D. (); Orozco, Noelia (); Daza, Ricardo (); Barrera, Elizabeth (); Correa, Luis (); Ardila, Carlos (); Nieto, Wilson ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1088819576,,
2026,pub.1088819606,10.1115/1.859926.paper78,,,A Novel Method for Multivariable Optimization Without Constraintsm,,,,,International Conference on Computer and Computer Intelligence (ICCCI 2011),,,2011,2011,,,,,495-499,Closed,Chapter,"Nino, Elias D.; Cuellar, Sebastian; Molina, Estiven Delgado; Dahmen, Andres","Nino, Elias D. (); Cuellar, Sebastian (); Molina, Estiven Delgado (); Dahmen, Andres ()",,"Nino, Elias D. (); Cuellar, Sebastian (); Molina, Estiven Delgado (); Dahmen, Andres ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1088819606,,
2013,pub.1088819586,10.1115/1.859926.paper58,,,A Novel Method for Unconstrained Multivariate Optimization Based on Fletcher Reeves Theory,,,,,International Conference on Computer and Computer Intelligence (ICCCI 2011),,,2011,2011,,,,,361-365,Closed,Chapter,"Nino, Elias D.; Pacheco, Luis; Steer, Mario; Perez, Rafael","Nino, Elias D. (); Pacheco, Luis (); Steer, Mario (); Perez, Rafael ()",,"Nino, Elias D. (); Pacheco, Luis (); Steer, Mario (); Perez, Rafael ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1088819586,,
1982,pub.1088819571,10.1115/1.859926.paper44,,,MIDRS: A Metaheuristic Based on Deterministic Finite Automata and Simulated Annealing Technique for Biobjective Optimization Combinatorial Problems,,,,,International Conference on Computer and Computer Intelligence (ICCCI 2011),,,2011,2011,,,,,273-277,Closed,Chapter,"Nino, Elias D.; Sarabia, Justo; Ardila, Carlos; Nieto, Wilson; Barrios, Agustin","Nino, Elias D. (); Sarabia, Justo (); Ardila, Carlos (); Nieto, Wilson (); Barrios, Agustin ()",,"Nino, Elias D. (); Sarabia, Justo (); Ardila, Carlos (); Nieto, Wilson (); Barrios, Agustin ()",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1088819571,46 Information and Computing Sciences; 49 Mathematical Sciences; 4901 Applied Mathematics,
1972,pub.1094194891,10.1109/imtc.2011.5944270,,,Integrated Video Camera System for Peripheral Vision,"The system presented in this paper has two main functions: one is the acquisition of multisource panoramic video in real time, and the other is the collection and storage of photos of the panoramic image. The fusion of the different sources of the video is performed via software, and the video components are obtained via four inexpensive webcams.","The authors would like to thank Michael Carroll and Andrew Davidson for their work, because it has been fundamental for the application presented in this paper.",,,2011 IEEE International Instrumentation and Measurement Technology Conference,,,2011-05,2011,,,,,1-5,Closed,Proceeding,"Varela, Eduardo Zurek; Caballero, Paul Smit; Vertel, Carlos Rios","Varela, Eduardo Zurek (Departamento de ingeniería de sistemas, Universidad Del Norte Barranquilla, Colombia); Caballero, Paul Smit (Departamento de ingeniería de sistemas, Universidad Del Norte Barranquilla, Colombia); Vertel, Carlos Rios (Departamento de ingeniería de sistemas, Universidad Del Norte Barranquilla, Colombia)",,"Varela, Eduardo Zurek (Universidad del Norte); Caballero, Paul Smit (Universidad del Norte); Vertel, Carlos Rios (Universidad del Norte)",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1094194891,40 Engineering; 4008 Electrical Engineering; 46 Information and Computing Sciences; 4603 Computer Vision and Multimedia Computation,
1970,pub.1088819548,10.1115/1.859926.paper20,,,Improving the Clustering Algorithm K -Means Using a New Distance Function and Its Application to the Population Databases of Breast Cancer,,,,,International Conference on Computer and Computer Intelligence (ICCCI 2011),,,2011,2011,,,,,125-129,Closed,Chapter,"Nino, Elias D.; Nieto, Wilson; Bolivar, Juan","Nino, Elias D. (); Nieto, Wilson (); Bolivar, Juan ()",,"Nino, Elias D. (); Nieto, Wilson (); Bolivar, Juan ()",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1088819548,32 Biomedical and Clinical Sciences; 3211 Oncology and Carcinogenesis; 42 Health Sciences; 4203 Health Services and Systems,
1970,pub.1043100969,10.5772/20580,,,Affectation Situation of HIV/AIDS in Colombian Children,"Affectation Situation of HIV/AIDS in Colombian Children | InTechOpen, Published on: 2011-12-14. Authors: Ana María Trejos Herrera, Jorge Palacio Sañudo Mario Mosquera Vásquez and Rafael Tuesca Molina",,,,Health Management - Different Approaches and Solutions,Krzysztof Smigorski,,2011-12-14,2011,2011-12-14,,,,,All OA; Hybrid,Chapter,"Herrera, Ana María Trejos; Vásquez, Jorge Palacio Sañudo Mario Mosquera; Molina, Rafael Tuesca","Herrera, Ana María Trejos (); Vásquez, Jorge Palacio Sañudo Mario Mosquera (); Molina, Rafael Tuesca ()",,"Herrera, Ana María Trejos (); Vásquez, Jorge Palacio Sañudo Mario Mosquera (); Molina, Rafael Tuesca ()",0,0,,0.0,https://www.intechopen.com/citation-pdf-url/24992,https://app.dimensions.ai/details/publication/pub.1043100969,32 Biomedical and Clinical Sciences; 3207 Medical Microbiology,
1968,pub.1092906331,10.1115/imece2011-64484,,,Conceptual Design of Photobioreactor for Algae Cultivation,"Algae have created a lot of interest in recent years due to their high potential for yielding oil that might be used for biodiesel production while capturing CO2 and helping clean the environment. However, to reach high productions, more efficient photobioreactors are required. Different kinds of photobioreactors configurations have been proposed but only a few of them show high productivity levels. This article presents a comparison among various promising photobioreactors by evaluating the light regime, mass transfer and scale up to achieve an efficient operation of mass algae cultures. Finally, a promising configuration for reaching high productivity is determined.Copyright © 2011 by ASME",,,,"Volume 4: Energy Systems Analysis, Thermodynamics and Sustainability; Combustion Science and Engineering; Nanoengineering for Energy, Parts A and B",,,2011-01-01,2011,2012-08-01,2011-01-01,,,197-202,Closed,Proceeding,"Pupo, Oscar R.; García, Samira; Valencia, Guillermo; Bula, Antonio","Pupo, Oscar R. (Universidad del Norte, Barranquilla, Colombia); García, Samira (Universidad del Norte, Barranquilla, Colombia); Valencia, Guillermo (Universidad del Norte, Barranquilla, Colombia); Bula, Antonio (Universidad del Norte, Barranquilla, Colombia)",,"Pupo, Oscar R. (Universidad del Norte); García, Samira (Universidad del Norte); Valencia, Guillermo (Universidad del Norte); Bula, Antonio (Universidad del Norte)",3,0,,0.23,,https://app.dimensions.ai/details/publication/pub.1092906331,31 Biological Sciences; 3106 Industrial Biotechnology,
1958,pub.1088815466,10.1115/1.859926.paper1,,,Bayessian Clasiffier Supported by Coverage and Acuracy in Breast Cancerdetection,,,,,International Conference on Computer and Computer Intelligence (ICCCI 2011),,,2011,2011,,,,,1-5,Closed,Chapter,"Nino, Elias D.; Nieto, Wilson; Felizzola, Ricardo","Nino, Elias D. (); Nieto, Wilson (); Felizzola, Ricardo ()",,"Nino, Elias D. (); Nieto, Wilson (); Felizzola, Ricardo ()",1,1,,,,https://app.dimensions.ai/details/publication/pub.1088815466,,
1943,pub.1092934017,10.1115/imece2011-64440,,,CFD Modeling of Plate Louvered Fin Heat Exchangers,"The flow and thermal field for B razed P late F in H eat E xchanger (BPFHE) at the air side is presented in this study. Three-dimensional simulations of computational fluid dynamics were developed on a triangular section channel for the heat exchanger considered. The simulation of the fin is done for a given geometry and compared with experimental data presented by other authors, then a plane is raised keeping the original geometry and louver walls are included. The air-side performance of the heat exchanger and the hydraulic behavior is evaluated by calculating the Colburn (j) and frictional (f) factor. The result for the fin showed a deviation close to 3% when compared to experimental data for similar geometries from Keys & London. The results show how the turbulence highly increases the heat transfer phenomena.Copyright © 2011 by ASME",,,,"Volume 10: Heat and Mass Transport Processes, Parts A and B",,,2011-01-01,2011,2012-08-01,2011-01-01,,,153-158,Closed,Proceeding,"Medina, Julio; Bula, Antonio J.; Valencia, Guillermo","Medina, Julio (Universidad del Norte, Barranquilla, Colombia); Bula, Antonio J. (Universidad del Norte, Barranquilla, Colombia); Valencia, Guillermo (Universidad del Norte, Barranquilla, Colombia)",,"Medina, Julio (Universidad del Norte); Bula, Antonio J. (Universidad del Norte); Valencia, Guillermo (Universidad del Norte)",1,0,,0.18,,https://app.dimensions.ai/details/publication/pub.1092934017,40 Engineering; 4012 Fluid Mechanics and Thermal Engineering,
