"About the data: Exported on Oct 01, 2024. Criteria: '""Universidad del Norte"" OR ""universidad del norte"" OR ""University of the North"" OR ""university of the north"" OR ""Uninorte"" OR ""uninorte""' in full data; Publication Year is 2013; Publication Type is Preprint or Edited Book or Monograph or Proceeding or Chapter; Open Access is All OA.  Note: For hyper-authorship publications with more than 100 authors the export does not include author names and affiliations. © 2024 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Funding,Source title,Anthology title,Book editors,MeSH terms,Publication date,PubYear,Publication date (online),Publication date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
2147,pub.1094355007,10.1109/isiea.2012.6496603,,,Technical program,Provides a schedule of conference events and a listing of which papers were presented in each session.,,,,2012 IEEE Symposium on Industrial Electronics and Applications,,,2013-04-10,2013,2013-04-10,,,,8-14,All OA; Bronze,Proceeding,,,,,0,0,,0.0,https://ieeexplore.ieee.org/ielx7/6489875/6496596/06496603.pdf,https://app.dimensions.ai/details/publication/pub.1094355007,36 Creative Arts and Writing; 3602 Creative and Professional Writing; 46 Information and Computing Sciences,
2116,pub.1094390274,10.1109/sipda.2013.6729221,,,Estimation of the Lightning Parameters in the North Region of Colombia,"this document presents the results of a study developed in the north region of Colombia (Caribbean region). The study analyzed the lightning parameters based on the new antennas network called LINE T. The lightning parameters under study are: return stroke current, polarity and ground flash density. These preliminary results will be the support of future investigations about the lightning parameters characterization and also could help to adjust the characteristic equations and typical values of the phenomena for lightning protection systems in the Caribbean region.",The authors want to express their gratitude with Keraunos enterprise for facilitating the information of LINET system. As well want to thank to Universidad del Norte for supporting this research project.,,,2013 International Symposium on Lightning Protection (XII SIPDA),,,2013-10-01,2013,,2013-10-01,,,11-16,All OA; Green,Proceeding,"Montaña, Johny; Silva, Jorge","Montaña, Johny (Universidad del Norte, Researcher in the research group GISEL, Barranquilla, Colombia); Silva, Jorge (Magister Student at Universidad del Norte, Researcher in the research group GIOPEN, Barranquilla, Colombia)",,"Montaña, Johny (Universidad del Norte); Silva, Jorge (Universidad del Norte)",3,1,,1.03,https://repositorio.cuc.edu.co/bitstream/11323/9020/1/RevistaESPACIOS_Vol.pdf,https://app.dimensions.ai/details/publication/pub.1094390274,40 Engineering; 4006 Communications Engineering,
2005,pub.1093261160,10.1109/iswta.2013.6688745,,,Technical program,,,,2012 IEEE Symposium on Wireless Technology and Applications (ISWTA),2013 IEEE Symposium on Wireless Technology & Applications (ISWTA),,,2013-12-18,2013,2013-12-18,,,,xii-xxviii,All OA; Bronze,Proceeding,,,,,0,0,,,https://ieeexplore.ieee.org/ielx7/6678911/6688738/06688745.pdf,https://app.dimensions.ai/details/publication/pub.1093261160,,
2003,pub.1119579251,10.48550/arxiv.1307.7310,,,A posteriori error analysis for a boundary element method with non-conforming domain decomposition,"We present and analyze an a posteriori error estimator based on mesh
refinement for the solution of the hypersingular boundary integral equation
governing the Laplacian in three dimensions. The discretization under
consideration is a non-conforming domain decomposition method based on the
Nitsche technique. Assuming a saturation property, we establish
quasi-reliability and efficiency of the error estimator in comparison with the
error in a natural (non-conforming) norm. Numerical experiments with uniform
and adaptively refined meshes confirm our theoretical results.",,,arXiv,,,,2013-07-27,2013,,,,,,All OA; Green,Preprint,"Domínguez, Catalina; Heuer, Norbert","Domínguez, Catalina (); Heuer, Norbert ()",,"Domínguez, Catalina (); Heuer, Norbert ()",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1119579251,40 Engineering; 4006 Communications Engineering; 4008 Electrical Engineering,
1987,pub.1130595935,10.18260/1-2--17249,,,"Invited Paper - International Acreditation, Key Factor for preparation of Global Engineers. Universidad del Norte Experience",,,,,2013 ASEE International Forum Proceedings,,,2013-06,2013,2013-06,,,,21.44.1-21.44.2,All OA; Green,Proceeding,"Paez Saavedra, Javier","Paez Saavedra, Javier (Fundacion Universidad del Norte)",,"Paez Saavedra, Javier (Fundacion Universidad del Norte)",0,0,,0.0,https://sftp.asee.org/17249.pdf,https://app.dimensions.ai/details/publication/pub.1130595935,40 Engineering; 4005 Civil Engineering,
1844,pub.1095097139,10.1109/lcnw.2013.6758539,,,MaPIR: Mapping-Based Private Information Retrieval For Location Privacy In Lbiss,"The popularization of Location-Based Services (LBSs) has brought along benefits for users and service provider, in terms of improved quality of existing services and a better user experience. At the same time, location privacy has become one of the most critical concerns for ensuring users' right to protection. Despite the fact that one of the best ways to protect the location information is not to reveal it, there are advantages on using this information to personalize services, however it is necessary to guarantee its protection. Private Information Retrieval is a technique that creates a common language between users and service provider so that external actors cannot understand most of the information being transferred. This paper introduces MaPIR, a mapping-based private information retrieval technique that uses mathematically generated mapping to create redundancy in order to provide multiple answers to a user with an undistinguishable location. This technique is decentralized and focuses on Point of Interest Search-based application, not on tracking services. For performance evaluation, were compared in two scenarios MaPIR, a regular spatial query and the Dummy Query technique, the results show that MaPIR takes only half the time of regular geographical queries on database processing, and 5 times less than the Dummy Query technique, while providing a similar level of redundancy.",This project received founding from Colciencias and Universidad del Norte - Young Researcher Program 2012. This project received founding from Colciencias and Universidad del Norte - Young Researcher Program 2012.,,,38th Annual IEEE Conference on Local Computer Networks - Workshops,,,2013-10-01,2013,,2013-10-01,,,964-971,All OA; Bronze,Proceeding,"Wightman, P. M.; Zurbarán, M.; Rodríguez, M.; Labrador, M. A.","Wightman, P. M. (Departamento de Ingeniería de Sistemas, Universidad del Norte, Barranquilla, Colombia); Zurbarán, M. (Departamento de Ingeniería de Sistemas, Universidad del Norte, Barranquilla, Colombia); Rodríguez, M. (Departamento de Ingeniería de Sistemas, Universidad del Norte, Barranquilla, Colombia); Labrador, M. A. (Department of Computer Science and Engineering, University of South Florida, Tampa, FL, USA)",,"Wightman, P. M. (Universidad del Norte); Zurbarán, M. (Universidad del Norte); Rodríguez, M. (Universidad del Norte); Labrador, M. A. (University of South Florida)",7,1,,1.81,https://ieeexplore.ieee.org/ielx7/6746241/6758464/06758539.pdf,https://app.dimensions.ai/details/publication/pub.1095097139,46 Information and Computing Sciences; 4604 Cybersecurity and Privacy; 4605 Data Management and Data Science,
1746,pub.1099210285,10.2991/mdhss-13.2013.119,,,Searching for the Lost Security in Latin America Impact of Violence and Insecurity in the Development,"The concept of Biopolitics in Michel Foucault helps us to understand phenomena such as criminality, which is a problem in the normal life of the people in the urban sphere. This problem in Latin America rises as the first one concern in the climate opinion of the people. Criminality could be understood such as economic valuation of damages or threats...",,,Advances in Intelligent Systems Research,Proceedings of the 2013 International Conference on the Modern Development of Humanities and Social Science,,,2013,2013,2013,,47,,,All OA; Gold,Proceeding,"Orozco, Gabriel A.","Orozco, Gabriel A. ()",,"Orozco, Gabriel A. ()",0,0,,0.0,https://www.atlantis-press.com/article/10104.pdf,https://app.dimensions.ai/details/publication/pub.1099210285,44 Human Society; 4404 Development Studies; 48 Law and Legal Studies,
1653,pub.1045834319,10.5194/nhessd-1-3659-2013,,,Characterization and effects of cold fronts in the Colombian Caribbean Coast and their relationship to extreme wave events,"Extreme ocean waves in the Caribbean Sea are commonly related to the effects of storms and hurricanes during the months of June through November. The collapse of 200 m of the Puerto Colombia pier in March 2009 revealed the effects of meteorological phenomena other than storms and hurricanes that may be influencing the extreme wave regime in the Colombian Caribbean. The marked seasonality of these atmospheric fronts was established by analyzing the meteorological-marine reports of Instituto de Hidrología, Meteorología y Estudios Ambientales of Colombia (IDEAM, based on its initials in Spanish) and Centro de Investigación en Oceanografía y Meteorología of Colombia (CIOH, based on its initials in Spanish). The highest occurrences were observed during the months of January, February, and March, with 6 fronts occurring per year. An annual trend was not observed, although the highest number of fronts occurred in 2010 (20 in total). An annual strong relationship between the maximum average wave values and the cold fronts, in the central zone of the Colombian Caribbean during the first three months of the year was established. In addition, the maximum values of the significant height produced by the passage of cold fronts during the last 16 yr were identified. Although the Colombian Caribbean has been affected by storms and hurricanes in the past, this research allows us to conclude that, there is a strong relationship between cold fronts and the largest waves in the Colombian Caribbean during the last 16 yr, which have caused damage to coastal infrastructure. We verified that the passage of a cold front corresponded to the most significant extreme wave event of the last two decades in the Colombian Caribbean, which caused the structural collapse of the Puerto Colombia pier, located near the city of Barranquilla, between 5 and 10 March 2009. This information is invaluable when evaluating average and extreme wave regimes for the purpose of informing the design of structures in this region of the Caribbean.",,,EGUsphere,,,,2013-07-29,2013,2013-07-29,,1,4,3659-3687,All OA; Green,Preprint,"Ortiz-Royero, J. C.; Otero, L. J.; Restrepo, J. C.; Ruiz, J.; Cadena, M.","Ortiz-Royero, J. C. (Applied Physics Group – Ocean and Atmosphere Area – Physics Department Universidad del Norte, Barranquilla, Colombia); Otero, L. J. (Applied Physics Group – Ocean and Atmosphere Area – Physics Department Universidad del Norte, Barranquilla, Colombia); Restrepo, J. C. (Applied Physics Group – Ocean and Atmosphere Area – Physics Department Universidad del Norte, Barranquilla, Colombia); Ruiz, J. (Applied Physics Group – Ocean and Atmosphere Area – Physics Department Universidad del Norte, Barranquilla, Colombia); Cadena, M. (Instituto de Hidrología, Meteorología y Estudios Ambientales de Colombia (IDEAM), Bogotá D.C., Colombia)",,"Ortiz-Royero, J. C. (Universidad del Norte); Otero, L. J. (Universidad del Norte); Restrepo, J. C. (Universidad del Norte); Ruiz, J. (Universidad del Norte); Cadena, M. (Institute of Hydrology, Meteorology and Environmental Studies)",1,0,,0.15,https://nhess.copernicus.org/articles/13/2797/2013/nhess-13-2797-2013.pdf,https://app.dimensions.ai/details/publication/pub.1045834319,37 Earth Sciences; 3701 Atmospheric Sciences; 40 Engineering; 4015 Maritime Engineering,14 Life Below Water
1593,pub.1093564751,10.1109/wsc.2013.6721715,,,SIGNAL-ORIENTED RAILROAD SIMULATION,"Railroad simulation is always challenging to modelers, since this kind of system has physical restrictions that cannot be ignored or deeply simplified without losing precision. The great difficulty on modeling the railroad behavior lies on the train movement, specially on single lines. This paper describes the experience of modeling a railway line used for coal transportation in Colombia, used by one of the largest open-pit coal mining companies in the world, and the most important in the country: Carbones del Cerrejón. After experiencing and analyzing different options, the model was built with a signal-oriented decision process, where all train movements are allowed or restricted by the line signals. This approach made possible to represent every specific decision regarding the train movements in different sections of the line, using a simple local, instead of a global complex intelligence. It has proven to be very precise, fitting the real system with small error, and allowed several experiments to support decisions at Cerrejón.",The authors thanks Carbones de Cerrejón for supporting this project and for authorizing the use of its information for this paper. The authors thanks Carbones de Cerrejón for supporting this project and for authorizing the use of its information for this paper.,,,2013 Winter Simulations Conference (WSC),,,2013-12,2013,,,,,3533-3543,All OA; Green,Proceeding,"Fioroni, Marcelo Moretti; Quevedo, Johanna Gomez; Santana, Isac Reis; Franzese, Luiz Augusto G.; Cuervo, Daniel; Sanchez, Paola; Narducci, Francesco","Fioroni, Marcelo Moretti (Paragon Decision Science, Rua Arminda, 93— 5, th, floor, 04545-100, São Paulo, BRAZIL); Quevedo, Johanna Gomez (Paragon Decision Science, Rua Arminda, 93— 5, th, floor, 04545-100, São Paulo, BRAZIL); Santana, Isac Reis (Paragon Decision Science, Rua Arminda, 93— 5, th, floor, 04545-100, São Paulo, BRAZIL); Franzese, Luiz Augusto G. (Paragon Decision Science, Rua Arminda, 93— 5, th, floor, 04545-100, São Paulo, BRAZIL); Cuervo, Daniel (Carbones del Cerrejón, Calle 100 No. 19-54, Bogota, COLOMBIA); Sanchez, Paola (Carbones del Cerrejón, Calle 100 No. 19-54, Bogota, COLOMBIA); Narducci, Francesco (Carbones del Cerrejón, Calle 100 No. 19-54, Bogota, COLOMBIA)",,"Fioroni, Marcelo Moretti (Paragon Decision Science, Rua Arminda, 93— 5, th, floor, 04545-100, São Paulo, BRAZIL); Quevedo, Johanna Gomez (Paragon Decision Science, Rua Arminda, 93— 5, th, floor, 04545-100, São Paulo, BRAZIL); Santana, Isac Reis (Paragon Decision Science, Rua Arminda, 93— 5, th, floor, 04545-100, São Paulo, BRAZIL); Franzese, Luiz Augusto G. (Paragon Decision Science, Rua Arminda, 93— 5, th, floor, 04545-100, São Paulo, BRAZIL); Cuervo, Daniel (Carbones del Cerrejón, Calle 100 No. 19-54, Bogota, COLOMBIA); Sanchez, Paola (Carbones del Cerrejón, Calle 100 No. 19-54, Bogota, COLOMBIA); Narducci, Francesco (Carbones del Cerrejón, Calle 100 No. 19-54, Bogota, COLOMBIA)",3,0,,0.54,http://informs-sim.org/wsc13papers/includes/files/312.pdf,https://app.dimensions.ai/details/publication/pub.1093564751,40 Engineering; 4019 Resources Engineering and Extractive Metallurgy; 46 Information and Computing Sciences,
1470,pub.1029132322,10.1007/978-3-642-41827-3_32,,,A Comparison of Different Classifiers Architectures for Electrocardiogram Artefacts Recognition,"Applying heart rate variability (HRV) analysis on ambulatory ECG monitoring is a very useful decision support tool for cardiovascular diagnosis. The presence of non-valid beats (artefacts) on the RR interval time-series affects the diagnosis accuracy using this technique. Despite the importance of artefacts recognition prior to exclusion, no paper was found characterizing quantitatively the performance of, on the one hand, the extracted features and, on the other hand, the clustering methods on artefacts recognition for HRV analysis. In this paper we evaluate the performance of several combinations of three feature extraction methods and four clustering methods (based on machine learning techniques) for the artefacts beats recognition on the ECG signal. The trade-off between performance indexes suggests the use of a non-linear principal component analysis as feature extraction method and a multilayer perceptron (MLP) as clustering method, with sensitivity, specificity and positive-predictive-value (PPV) equal to respectively 95 %, 95.9 % and 98 %.",,,Lecture Notes in Computer Science,"Progress in Pattern Recognition, Image Analysis, Computer Vision, and Applications","José Ruiz-Shulcloper, Gabriella Sanniti di Baja",,2013,2013,,2013,8259,,254-261,All OA; Bronze,Chapter,"Vázquez-Seisdedos, Carlos R.; Suárez León, Alexander A.; Evangelista Neto, Joao","Vázquez-Seisdedos, Carlos R. (Center for Neurosciences Studies, Image and Signal Processing, Biomedical Engineering Departament, Universidad de Oriente, Santiago de Cuba, Cuba); Suárez León, Alexander A. (Center for Neurosciences Studies, Image and Signal Processing, Biomedical Engineering Departament, Universidad de Oriente, Santiago de Cuba, Cuba); Evangelista Neto, Joao (Amazon State University and UniNorte/Laurente, Manaus, Brazil)",,"Vázquez-Seisdedos, Carlos R. (University of Santiago de Cuba); Suárez León, Alexander A. (University of Santiago de Cuba); Evangelista Neto, Joao (Amazon State University and UniNorte/Laurente, Manaus, Brazil)",3,0,,0.71,https://link.springer.com/content/pdf/10.1007/978-3-642-41827-3_32.pdf,https://app.dimensions.ai/details/publication/pub.1029132322,46 Information and Computing Sciences; 4605 Data Management and Data Science; 4611 Machine Learning,
