"About the data: Exported on Oct 01, 2024. Criteria: '""Universidad del Norte"" OR ""universidad del norte"" OR ""University of the North"" OR ""university of the north"" OR ""Uninorte"" OR ""uninorte""' in full data; Publication Year is 2015; Publication Type is Chapter or Proceeding or Edited Book or Monograph or Preprint.  Note: For hyper-authorship publications with more than 100 authors the export does not include author names and affiliations. © 2024 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Funding,Source title,Anthology title,Book editors,MeSH terms,Publication date,PubYear,Publication date (online),Publication date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
3189,pub.1050086977,10.1057/9781137479389_5,,,"Institutional Frameworks and Scientific Productivity in Chile and Colombia, 1950–2012","Should private universities change their traditional teaching mission and engage in generating knowledge? If so, what conditions enable them to accomplish that goal? A mainstream perspective has traditionally explained research productivity through the so-called best practices implemented by university administrators. The classic works of Burton Clark (1998, 2004) on entrepreneurial universities and more recent studies on worldclass universities by Philip Altbach and Jamil Salmi and his other colleagues (2007, 2011) represent this approach. These well-known authors in the field of higher education studies identify and recommend administrative practices that are believed to improve financial sustainability and research production of universities around the world.",,,International and Development Education,Private Universities in Latin America,"Gustavo Gregorutti, Jorge Enrique Delgado",,2015,2015,,2015,,,79-106,Closed,Chapter,"Pineda, Pedro","Pineda, Pedro ()",,"Pineda, Pedro ()",3,2,,1.13,,https://app.dimensions.ai/details/publication/pub.1050086977,"39 Education; 3902 Education Policy, Sociology and Philosophy; 3903 Education Systems",
3039,pub.1092992480,10.1115/imece2015-51982,,,Synthesis and Characterization of Conjugated-Polymer/Graphene/Nanodiamond Nanocomposite for Electrochemical Energy Storage,"The synthesis and characterization of Polyaniline/Graphene/ Nanodiamond Nanocomposite is reported. The resulting materials were synthetized following a polymerization in situ scheme and characterized by Fourier Transform Infrared Spectroscopy (FTIR), Thermogravimetry (TGA), Differential Scanning Calorimetry (DSC), Scanning Electron Microscopy (SEM) and Cyclic Voltammetry (CV). The effect of different loads of graphene and nanodiamond on the resulting nanocomposite was studied. Despite the presence of the host materials, the formation of Polyaniline polymer is successfully accomplished for all samples. The microstructure of the resulting materials is core-shell type with the additives being covered (core) by layers of the conjugated polymer (shell). The thermal stability of the nanocomposites is improved as confirmed by measuring an increase on the Temperature of Decomposition and the Cross-Linking Temperature compared to bare polymer. Electrochemical characterization reveals that the presence of the additives does not affect the electroactive behaviour of the matrix polymer allowing it to reversely shift from different oxidation stages. The effect of additive content on the charge transfer kinetics is discussed.Copyright © 2015 by ASME",,,,Volume 14: Emerging Technologies; Safety Engineering and Risk Analysis; Materials: Genetics to Structures,,,2015-11-13,2015,2016-03-07,2015-11-13,,,v014t11a032-v014t11a032,Closed,Proceeding,"Perozo, Danny Illera; Vega, Humberto Gómez; Martínez, Julian Yepes","Perozo, Danny Illera (Universidad del Norte, Barranquilla, Colombia); Vega, Humberto Gómez (Universidad del Norte, Barranquilla, Colombia); Martínez, Julian Yepes (Universidad del Norte, Barranquilla, Colombia)",,"Perozo, Danny Illera (Universidad del Norte); Vega, Humberto Gómez (Universidad del Norte); Martínez, Julian Yepes (Universidad del Norte)",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1092992480,34 Chemical Sciences; 3403 Macromolecular and Materials Chemistry; 3406 Physical Chemistry; 40 Engineering; 4016 Materials Engineering,7 Affordable and Clean Energy
2564,pub.1014027833,10.1016/bs.apar.2015.03.003,26597072,,Chapter Nine Palaeoparasitology — Human Parasites in Ancient Material,"Parasite finds in ancient material launched a new field of science: palaeoparasitology. Ever since the pioneering studies, parasites were identified in archaeological and palaeontological remains, some preserved for millions of years by fossilization. However, the palaeoparasitological record consists mainly of parasites found specifically in human archaeological material, preserved in ancient occupation sites, from prehistory until closer to 2015. The results include some helminth intestinal parasites still commonly found in 2015, such as Ascaris lumbricoides, Trichuris trichiura and hookworms, besides others such as Amoebidae and Giardia intestinalis, as well as viruses, bacteria, fungi and arthropods. These parasites as a whole provide important data on health, diet, climate and living conditions among ancient populations. This chapter describes the principal findings and their importance for knowledge on the origin and dispersal of infectious diseases.","AcknowledgementsThe research received funding from the Brazilian National Council on Scientific and Technological Development (CNPq), Coordinating Division for the Advancement of Graduate Studies (CAPES) in the Science without Borders programme (Ciencia sem Fonteiras), Carlos Chagas Filho Rio de Janeiro State Research Foundation (FAPERJ) and InovaENSP (Sergio Arouca National School of Public Health).",,Advances in Parasitology,Fossil Parasites,,Animals; Environment; Fossils; Host-Pathogen Interactions; Humans; Paleontology; Parasites,2015-04-17,2015,2015-04-17,2015,90,,349-387,Closed,Chapter,"Araújo, Adauto; Reinhard, Karl; Ferreira, Luiz Fernando","Araújo, Adauto (Fundação Oswaldo Cruz, Laboratório de Paleoparasitologia, Rio de Janeiro, RJ, Brazil.); Reinhard, Karl (School of Natural Resources, University of Nebraska, Lincoln, NE, USA.); Ferreira, Luiz Fernando (Fundação Oswaldo Cruz, Laboratório de Paleoparasitologia, Rio de Janeiro, RJ, Brazil.)","Araújo, Adauto (Oswaldo Cruz Foundation)","Araújo, Adauto (Oswaldo Cruz Foundation); Reinhard, Karl (University of Nebraska–Lincoln); Ferreira, Luiz Fernando (Oswaldo Cruz Foundation)",39,11,0.73,5.36,,https://app.dimensions.ai/details/publication/pub.1014027833,"30 Agricultural, Veterinary and Food Sciences; 3009 Veterinary Sciences; 31 Biological Sciences; 3107 Microbiology",3 Good Health and Well Being
2450,pub.1015531962,10.1007/978-981-287-079-7_10-1,,,Perspectives on Academic Integrity in Colombia and Latin America,"This chapter aims to provide a general overview of the current state of research on the subject of academic integrity (AI) in Colombia, with general reference to Latin America. Firstly, it explains why AI is becoming an important issue in Colombia’s national context and in Latin America’s regional context. Secondly, it refers to studies that have been conducted on AI in Latin America, focusing on those carried out in Colombia. Thirdly, the paper describes some of the government and nongovernmental initiatives that have been implemented in Colombia to promote AI. Finally, in a closing section, it presents some conclusions and attempts to explain the possible link between AI violations and the broader phenomenon of rule breaking in Colombia and Latin America.",,,,Handbook of Academic Integrity,Tracey Ann Bretag,,2015-07-01,2015,2015-07-01,2015,,,1-16,Closed,Chapter,"García-Villegas, Mauricio; Franco-Pérez, Nathalia; Cortés-Arbeláez, Alejandro","García-Villegas, Mauricio (Universidad Nacional de Colombia, Bogotá, Colombia); Franco-Pérez, Nathalia (Universidad EAFIT, Medellin, Colombia, South America); Cortés-Arbeláez, Alejandro (Universidad EAFIT, Medellin, Colombia, South America)","García-Villegas, Mauricio (National University of Colombia)","García-Villegas, Mauricio (National University of Colombia); Franco-Pérez, Nathalia (EAFIT University); Cortés-Arbeláez, Alejandro (EAFIT University)",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1015531962,44 Human Society; 4404 Development Studies; 46 Information and Computing Sciences,"16 Peace, Justice and Strong Institutions"
2080,pub.1097149552,10.1061/9780784479162.140,,,An Experimental Design Based Methodology for Calibrating 2D Hidromorphodynamic Numerical Models for Rivers,"The confidence level of a numerical model is strongly related to the calibration and validation processes and the quality of their adjustment. Typically, numerical 2D models for rivers that involve hydrodynamics, sediment transport, and morphology processes are calibrated sequentially under the assumption that the morphology changes do not significantly affect the hydrodynamics. However, in some cases, the morphologic processes modify substantially the hydrodynamic due to the quick bed level accession and erosion as a function of the hydrological regime. These changes require a more efficient procedure reduce the amount of scenarios with indicators that allow to asset the quality of the calibration. This paper shows a methodology proposed to take into account the interaction of hydrodynamic, sedimentology and morphology in rivers based on an experimental design that allow evaluating simultaneously the significance and the sensitivity of the variables in order to select the best set of scenarios based on quantitative and qualitative indicators. The methodology was implemented in the Magdalena River and the Meta River in Colombia, which have different hydromorphodynamic conditions. The calibration and validation was supported with field data of water elevation, velocity vectors obtained by ADCP, flow rate measurements, sediment transport, and bed level changes, showing that is applicable either to straight, meandered, or braided rivers.",,,,World Environmental and Water Resources Congress 2015,,,2015-05-14,2015,2015-05-14,2015-05-15,,,1419-1431,Closed,Proceeding,"Acuña, Guillermo; Ávila, Humberto","Acuña, Guillermo (Ph.D. Student, Dept. of Civil Engineering, Universidad del Norte, Colombia. E-mail:, gjacuna@uninorte.edu.co); Ávila, Humberto (Ph.D. Civil Engineer, Professor of Water Resources Engineering, Instituto de Estudios Hidráulicos y Ambientales–IDEHA, Universidad del Norte, Colombia. E-mail:, havila@uninorte.edu.co)",,"Acuña, Guillermo (Ph.D. Student, Dept. of Civil Engineering, Universidad del Norte, Colombia. E-mail:, gjacuna@uninorte.edu.co); Ávila, Humberto (Ph.D. Civil Engineer, Professor of Water Resources Engineering, Instituto de Estudios Hidráulicos y Ambientales–IDEHA, Universidad del Norte, Colombia. E-mail:, havila@uninorte.edu.co)",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1097149552,37 Earth Sciences; 3707 Hydrology; 3709 Physical Geography and Environmental Geoscience; 40 Engineering,
2037,pub.1095278483,10.1109/chilecon.2015.7400399,,,QoS in Heterogeneous Networks Based on DWDM Technology,"This paper presents the application of QoS about a heterogeneous network based on DWDM transmission technique as core and having as edges two technology platforms, ATM and Ethernet applied QoS in residential services such as VoIP, video conferencing, digital television and data link high rates of transmission. With this design and implementation performance were performed measurements to services implemented in two topologies with QoS and without QoS, obtaining as a result QoS policies implemented in the network.",,,,"2015 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)",,,2015-10-01,2015,,2015-10-01,,,339-344,Closed,Proceeding,"Sanmartin, P.; Cardona, J.; Jabba, D.","Sanmartin, P. (Department of Systems Engineering, Universidad del Norte, Km 5 vía Pto Colombia, Colombia); Cardona, J. (Department of Electronic and Electrical Engineering, Universidad del Norte, Km 5 vía Pto Colombia, Colombia); Jabba, D. (Department of Systems Engineering, Universidad del Norte, Km 5 vía Pto Colombia, Colombia)",,"Sanmartin, P. (Universidad del Norte); Cardona, J. (Universidad del Norte); Jabba, D. (Universidad del Norte)",1,0,,0.33,,https://app.dimensions.ai/details/publication/pub.1095278483,40 Engineering; 4006 Communications Engineering; 46 Information and Computing Sciences,
2025,pub.1093910229,10.1109/epecs.2015.7368548,,,Optimal Power Distribution Network Reconfiguration Using Cuckoo Search,"This paper presents an adaptation of a new metaheuristic algorithm known as Cuckoo Search (CS) to solve the distribution network reconfiguration problem (DNRC), where the objective is to minimize the real power losses subject to constraints such as voltage levels in nodes, current levels in branches, and maintaining a radial topology in the distribution test system. The performance of the proposed method is compared with a popular meta-heuristic algorithm, Ant Colony Optimization (ACO). The methods have been tested on the IEEE 37 bus radial distribution system. Experiments were carried out to compare the simulation time, which is a critical measure for the real implementation of the method in real power distribution systems.",,,,2015 4th International Conference on Electric Power and Energy Conversion Systems (EPECS),,,2015-11-01,2015,,2015-11-01,,,1-6,All OA; Green,Proceeding,"Herazo, Efren; Quintero, Michell; Candelo, John; Soto, Jose; Guerrero, Javier","Herazo, Efren (); Quintero, Michell (); Candelo, John (); Soto, Jose (); Guerrero, Javier ()",,"Herazo, Efren (); Quintero, Michell (); Candelo, John (); Soto, Jose (); Guerrero, Javier ()",3,0,,0.7,https://repositorio.cuc.edu.co/bitstream/11323/8594/1/Optimal%20Power%20Distribution%20Network%20Reconfiguration%20using%20Cuckoo%20Search.pdf,https://app.dimensions.ai/details/publication/pub.1093910229,40 Engineering; 4008 Electrical Engineering; 46 Information and Computing Sciences; 4602 Artificial Intelligence,
1975,pub.1092797583,10.1115/imece2015-52119,,,Optimization of a Biomass Micro-Gasification Process for the Production of Synthesis Gas From Palm Shell,"This paper studied, through an experiment design, the significance of particle size, air speed and reactor arrangement for palm shell micro-gasification process in order to optimize the heating value of the syngas obtained. The range of variables was 8 to 13 mm for particle size, 0.8–1.4m/s for air velocity, and updraft or downdraft for the reactor type. It was found that the particle size and air velocity factors were the most significant in the optimization of the output variable, syngas heating value. A heating value of 2.69MJ / Nm3 was obtained using a fixed bed downdraft reactor, with a particle size of 13 mm and 1.4 m/s for air speed; verification of the optimum point of operation under these conditions verified that these operating conditions favor the production of a gas with a high energy value.Copyright © 2015 by ASME",,,,Volume 6A: Energy,,,2015-11-13,2015,2016-03-07,2015-11-13,,,v06at07a015-v06at07a015,Closed,Proceeding,"Ahumada, Luz M.; Verdeza, Arnaldo; Bula, Antonio J.","Ahumada, Luz M. (Universidad del Norte, Barranquilla, Colombia); Verdeza, Arnaldo (Universidad del Norte, Barranquilla, Colombia); Bula, Antonio J. (Universidad del Norte, Barranquilla, Colombia)",,"Ahumada, Luz M. (Universidad del Norte); Verdeza, Arnaldo (Universidad del Norte); Bula, Antonio J. (Universidad del Norte)",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1092797583,31 Biological Sciences; 3106 Industrial Biotechnology; 40 Engineering; 4004 Chemical Engineering,7 Affordable and Clean Energy
1923,pub.1092782048,10.1115/imece2015-51913,,,MPC Control of Dynamic PEM Fuel Cell System,"This paper presents, an open cathode fuel cell dynamic model and an advanced control system design that allows to study the transient response of the system and its nonlinearities. The model can be used to design control strategies and design test benches to test fuel cells stacks. A dynamic performance characterization is performed (transient response to disturbances or setpoint changes), and the information is used to propose the structure of a control system capable of incorporating expert information and transition in non-linear regions. The model used in the simulation takes account of three different phenomena: (a) mass transfer, (b) thermodynamics and (c) electrochemical. The fuel cell uses hydrogen and air to generate electricity. The hydrogen is supplied to the fuel cell anode and the air is supplied to the fuel cell cathode. This model allows the calculation of the pressure and mass flow circulating in the cell. Balances are presented for cathode, anode and membrane. The energy balance proposed includes the electrochemical reaction that is exothermic and the heat transfer to the air flowing through the cathode which has to supply the electrochemical reaction with the oxygen required and regulate the stack temperature. The ideal electric potential of a fuel cell is defined by the Nernst equation. The Nernst equation alone is not enough to describe the electrical potential during the actual operation of the system. The main sources of voltage loss are presented: Activation, electrical resistance and concentration. PEM control system is designed and simulated. A model–based algorithm is used to achieve different objectives than could lead to an improvement in the system performance. Results demonstrate that the predictions in voltage and current in the fuel cell stack are close to experimental data obtained from manufacturer. Constraints in the algorithm allow avoiding hazardous operational conditions and a decrease in controlled variable variance.Copyright © 2015 by ASME",,,,Volume 6B: Energy,,,2015-11-13,2015,2016-03-07,2015-11-13,,,v06bt07a023-v06bt07a023,Closed,Proceeding,"Morales, Victor Manuel Fontalvo; Sanjuan, Marco; Vega, Humberto Gómez","Morales, Victor Manuel Fontalvo (Universidad del Norte, Barranquilla, Colombia); Sanjuan, Marco (Universidad del Norte, Barranquilla, Colombia); Vega, Humberto Gómez (Universidad del Norte, Barranquilla, Colombia)",,"Morales, Victor Manuel Fontalvo (Universidad del Norte); Sanjuan, Marco (Universidad del Norte); Vega, Humberto Gómez (Universidad del Norte)",1,0,,0.24,,https://app.dimensions.ai/details/publication/pub.1092782048,"40 Engineering; 4007 Control Engineering, Mechatronics and Robotics; 4010 Engineering Practice and Education",7 Affordable and Clean Energy
1864,pub.1092797094,10.1115/imece2015-50434,,,Model Predictive Control of an HVAC System Based on Dynamic Tracking and Optimization of Energy Use,"U.S. Department of Energy affirms that HVAC systems consume approximately 40% of the total energy used in commercial-building sector. These types of systems are complex because they are composed of a large number of interconnected subsystems. The analysis shown in this paper is established on a building geographically located at the Caribbean coast region of Colombia in a region with tropical savanna climate and it is exposed to constant thermal load changes associated to high wall temperatures and direct sunlight incidence. Under this perspective, an energetic analysis is performed for the HVAC in order to implement a Model Predictive Control (MPC) strategy to enhance the system efficiency under the previously mentioned external conditions. The model predictive strategy is implemented as a system supervisor in order to minimize a cost function that measures the ratio of water consumption to air temperature change in the cooling coil. The strategy manipulates the required temperature of supply water to cooling coil from the chiller, perceiving as input perturbation the outdoor temperature, the desired temperatures for the classrooms and the desired temperature of the air supply to the different zones. The comparison and selection of thermodynamical states for analysis are conducted according to the dynamic characteristics of the entire system and individual components, and the energy assessment is performed including the system transient response. The accomplishment of the supervisory control strategy has demonstrated that dynamic energetic analysis and assessment is an auxiliary tool for HVAC performance management. The analysis performed shows that the supervisory strategy can reduce properly the energy performance index as a consequence, the energy consumption of the fan has a reduction of a 0.65%, while the water required shows a reduction of 66.93%.Copyright © 2015 by ASME",,,,Volume 6B: Energy,,,2015-11-13,2015,2016-03-07,2015-11-13,,,v06bt07a001-v06bt07a001,Closed,Proceeding,"Jácome, Alfredo Díaz; Sanjuán, Marco E.; Morales, Victor Fontalvo; Durán, Cinthia Audivet","Jácome, Alfredo Díaz (Universidad del Norte, Barranquilla, Colombia); Sanjuán, Marco E. (Universidad del Norte, Barranquilla, Colombia); Morales, Victor Fontalvo (Universidad del Norte, Barranquilla, Colombia); Durán, Cinthia Audivet (Universidad del Norte, Barranquilla, Colombia)",,"Jácome, Alfredo Díaz (Universidad del Norte); Sanjuán, Marco E. (Universidad del Norte); Morales, Victor Fontalvo (Universidad del Norte); Durán, Cinthia Audivet (Universidad del Norte)",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1092797094,"40 Engineering; 4007 Control Engineering, Mechatronics and Robotics; 4010 Engineering Practice and Education",7 Affordable and Clean Energy
