"About the data: Exported on Oct 01, 2024. Criteria: '""Universidad del Norte"" OR ""universidad del norte"" OR ""University of the North"" OR ""university of the north"" OR ""Uninorte"" OR ""uninorte""' in full data; Publication Year is 2019; Publication Type is Chapter or Edited Book or Proceeding or Monograph; Open Access is Closed.  Note: For hyper-authorship publications with more than 100 authors the export does not include author names and affiliations. © 2024 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Funding,Source title,Anthology title,Book editors,MeSH terms,Publication date,PubYear,Publication date (online),Publication date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
3983,pub.1121393228,10.1109/pepqa.2019.8851535,,,Active Distribution Networks Laboratory: A Case of Experiments in Power Quality,"The advance of power electric systems and technological progress in recent years dedicated on the development of active distribution networks have brought several technical challenges related to the power quality. The existence of these challenges requires the implementation of research platforms and the development of technologies that allow their study. This paper presents a laboratory for the research and teaching of power quality disturbance in active distribution networks, which is addressed as an educational tool for power quality concepts. This work presents a series of experiments that allow electrical and electronics engineering students actual testing of the concepts reviewed in theoretical classes. The experiments are summarized in the study of the power quality classical disturbances, such as voltage regulation and harmonic distortion in distribution networks by three operating scenarios. The results obtained show that the integration of distributed generators for voltage support presented an improved of voltage profile by 4 %, but also there was an increase of voltage and current harmonic distortion by 20% and 60% respectively. Otherwise, the implementation of natural filters presented a reduction in voltage and current harmonic distortion by 15% and 45% respectively. The above shown that these experiments allow teaching to the engineering students, conclusions that are well known in the technical literature of the power quality.",,,,2019 IEEE Workshop on Power Electronics and Power Quality Applications (PEPQA),,,2019-05-31,2019,,2019-05-31,00,,1-6,Closed,Proceeding,"Orozco-Henao, C.; Marín-Quintero, J.; Castillo-Sierra, Rafael; Velez, Juan C.; Oliveros, Ingrid; Pardo, Mauricio","Orozco-Henao, C. (Electrical and Electronic Engeenering Departament, Universidad del Norte, Colombia, Barranquilla); Marín-Quintero, J. (Electrical and Electronic Engeenering Departament, Universidad del Norte, Colombia, Barranquilla); Castillo-Sierra, Rafael (Electrical and Electronic Engeenering Departament, Universidad del Norte, Colombia, Barranquilla); Velez, Juan C. (Electrical and Electronic Engeenering Departament, Universidad del Norte, Colombia, Barranquilla); Oliveros, Ingrid (Electrical and Electronic Engeenering Departament, Universidad del Norte, Colombia, Barranquilla); Pardo, Mauricio (Electrical and Electronic Engeenering Departament, Universidad del Norte, Colombia, Barranquilla)","Orozco-Henao, C. (Universidad del Norte)","Orozco-Henao, C. (Universidad del Norte); Marín-Quintero, J. (Universidad del Norte); Castillo-Sierra, Rafael (Universidad del Norte); Velez, Juan C. (Universidad del Norte); Oliveros, Ingrid (Universidad del Norte); Pardo, Mauricio (Universidad del Norte)",3,2,,0.83,,https://app.dimensions.ai/details/publication/pub.1121393228,40 Engineering; 4008 Electrical Engineering; 4010 Engineering Practice and Education,
3125,pub.1121122834,10.1007/978-3-030-31140-7_27,,,Multi-Stage Recovery Resilience: A Case Study of the Dique Canal,"Disasters may cause severe damage to a community with long lasting consequences that will impede a short recovery. In high magnitude events the total recovery time is measured in months or years. These long recoveries are performed in multiple stages and different recovery rates. Traditional resilience metrics have been designed to study strictly increasing recovery functions, which is not a valid assumption for the multi-stage recovery case. This paper defines a model to measure resilience for a multi-stage recovery scenario, where the recovery process is performed in two or more stages with possibly different recovery rates. A linear approximation metric is proposed to improve resilience level estimation accuracy. The new metric is tested on a case study of the Dique Canal breach in Colombia occurred in 2010. The adapted resilience metric is combined with an optimization model to maximize the average performance on multi-stage scenarios, enabling decision makers to decide the best strategy per stage for a predefined budget. A comparative analysis confirms that the proposed model offers a better resilience estimation than previous linear average performance metrics.",The authors thank the referees for their helpful comments that significantly contributed to improving the quality of the paper. The work by Daniel Romero-Rodriguez has been partially supported by the Colombian Government through the COLCIENCIAS-scholarship Convocatoria 2015-CC1129579108 and cofinanced by the Universidad del Norte through the XVII Convocatoria Interna de Investigación UNINORTE. The work by Julio-Mario Daza-Escorcia has been partially supported by the Colombian Government through the COLCIENCIAS-scholarships CONV-617-2013-CAP3-CC72357251.,,Lecture Notes in Computer Science,Computational Logistics,"Carlos Paternina-Arboleda, Stefan Voß",,2019-09-20,2019,2019-09-20,2019,11756,,428-442,Closed,Chapter,"Romero-Rodriguez, Daniel; Savachkin, Alex; Ardila-Rueda, Weimar; Sierra-Altamiranda, Alvaro; Daza-Escorcia, Julio-Mario","Romero-Rodriguez, Daniel (Department of Industrial Engineering, Universidad del Norte, Barranquilla, Colombia); Savachkin, Alex (Department of Industrial Management and Systems Engineering, University of South Florida, Tampa, Florida, USA); Ardila-Rueda, Weimar (Department of Industrial Management and Systems Engineering, University of South Florida, Tampa, Florida, USA); Sierra-Altamiranda, Alvaro (Department of Industrial Management and Systems Engineering, University of South Florida, Tampa, Florida, USA); Daza-Escorcia, Julio-Mario (Program of Industrial Engineering, Konrad Lorenz University Foundation, Bogotá D.C, Colombia)","Romero-Rodriguez, Daniel (Universidad del Norte)","Romero-Rodriguez, Daniel (Universidad del Norte); Savachkin, Alex (University of South Florida); Ardila-Rueda, Weimar (University of South Florida); Sierra-Altamiranda, Alvaro (University of South Florida); Daza-Escorcia, Julio-Mario (Program of Industrial Engineering, Konrad Lorenz University Foundation, Bogotá D.C, Colombia)",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1121122834,46 Information and Computing Sciences; 4605 Data Management and Data Science,11 Sustainable Cities and Communities
2606,pub.1112400805,10.1007/978-3-030-03676-8_60,,,Developable Wooden Surfaces for Lightweight Architecture: Bio-Dune Pavilion,"Within the broad context of teaching and research, the results of a project involving a pavilion based on developable wooden surfaces, parametric design, and digital fabrication are presented through the collaboration of Ibero-American universities. The project addresses applications of wood to architecture that involves the CNC cutting of plates, thanks to the properties of developable surfaces. The in-depth knowledge of the geometrical properties of these surfaces opens up a wide range of morphological exploration and new constructive solutions. The proposed system provides a creative response to the criteria of limited material resources (a thin sheet of material) and low production and assembly costs as an analogy with natural construction. This high-tech and low-cost system, together with the Bio-mimetic design, offers an eco-compatible proposal to the three processes under study: design, manufacture, and assembly.",,,Lecture Notes in Civil Engineering,Digital Wood Design,"Fabio Bianconi, Marco Filippucci",,2019-02-25,2019,2019-02-25,2019,24,,1481-1500,Closed,Chapter,"Martín-Pastor, Andrés; García-Alvarado, Rodrigo","Martín-Pastor, Andrés (ETSIE, Department of Graphic Engineering, University of Seville, Seville, Spain); García-Alvarado, Rodrigo (Department of Design and Theory of Architecture, University of Bio-Bio, Avda. Collao, 1202, Concepcion, Chile)","Martín-Pastor, Andrés (University of Seville)","Martín-Pastor, Andrés (University of Seville); García-Alvarado, Rodrigo (University of Bío-Bío)",5,4,,2.83,,https://app.dimensions.ai/details/publication/pub.1112400805,33 Built Environment and Design; 3301 Architecture; 3303 Design,
2600,pub.1112499122,10.21789/9789587890501,,,"Juan, el hijo de Juan: Gossain según Howard Gardner","Juan Gossain, uno de los periodistas de mayor prestigio y reconocimiento en Colombia, salió de las entrañas de una familia que amamantó sus búsquedas inocentes, una escuela de barro donde amasó las primeras letras y un colegio de ciudad que le enseñó, con el mismo rigor, la disciplina y el valor de la amistad. Serían esos los mismos caminos que descubriría el psicólogo",,,,,,,2019-04-15,2019,2019-04-15,2019-04-15,,,,Closed,Edited Book,,,,,0,0,,,,https://app.dimensions.ai/details/publication/pub.1112499122,,
2258,pub.1121118219,10.1007/978-3-030-31140-7_9,,,Port Community System Adoption: Game Theoretic Framework for an Emerging Economy Case Study,"Abstract
Port community systems (PCS), as platforms for connecting the stakeholders of a port community (PC), build a basis for improving information exchange. These systems support automation and visibility along global supply chains, thereby helping to enhance the overall PC performance in both local and foreign trade activities. However, successful real-world PCS adoption often involves multiple collaborating parties interacting with at least two different types of PC stakeholders. This study assesses the payoff of the alliances between three types of stakeholders to ensure the adoption of a PCS. In order to accomplish the former, it also identifies the different possible collaborations at the inception of a PCS. We use different simulated scenarios to obtain the expected payoff of each stakeholder, in terms of lead time savings achieved, and based on the Shapley value method allocate profits to each coalition. Also, we present a sensitivity analysis to test each coalition with different variation of the market while adopting a PCS. The main result is that profits gained from the adoption of a PCS funded by the port community grand coalition are higher than those from pairs or individual members. Also, the profits gained from the coalition of two cooperative members are higher than any individual effort. Therefore, the stakeholders’ individual incentive to join a PCS coalition should be relatively high coming from a steady coalition.",,,Lecture Notes in Computer Science,Computational Logistics,"Carlos Paternina-Arboleda, Stefan Voß",,2019-09-20,2019,2019-09-20,2019,11756,,136-153,Closed,Chapter,"Moros-Daza, Adriana; Amaya-Mier, René; Garcia-Llinas, Guisselle; Voß, Stefan","Moros-Daza, Adriana (Institute of Information Systems (IWI), University of Hamburg, Hamburg, Germany; Department of Industrial Engineering, Universidad del Norte, Barranquilla, Colombia); Amaya-Mier, René (Department of Industrial Engineering, Universidad del Norte, Barranquilla, Colombia); Garcia-Llinas, Guisselle (Department of Industrial Engineering, Universidad del Norte, Barranquilla, Colombia); Voß, Stefan (Institute of Information Systems (IWI), University of Hamburg, Hamburg, Germany)","Moros-Daza, Adriana (Universität Hamburg; Universidad del Norte)","Moros-Daza, Adriana (Universität Hamburg; Universidad del Norte); Amaya-Mier, René (Universidad del Norte); Garcia-Llinas, Guisselle (Universidad del Norte); Voß, Stefan (Universität Hamburg)",7,1,,2.45,,https://app.dimensions.ai/details/publication/pub.1121118219,46 Information and Computing Sciences; 4609 Information Systems,
2130,pub.1111784406,10.1007/978-3-030-11890-7_13,,,Fuzzy Knowledge Discovery and Decision-Making Through Clustering and Dynamic Tables: Application in Medicine,"The objective of this study was to design, to implement and to validate a framework for the development of decision system support based on fuzzy set theory using clusters and dynamic tables. To validate the proposed framework, a fuzzy inference system was developed with the aim to classify breast cancer and compared with other related works (Literature). The fuzzy Inference System has three input variables. The results show that the Kappa Statistics and accuracy were 0.9683 and 98.6%, respectively for the output variable for the Fuzzy Inference System – FIS, showing a better accuracy than some literature results. The proposed framework may provide an effective means to draw a pattern to the development of fuzzy systems.","The first author expresses his deep thanks to the Administrative Department of Science, Technology, and Innovation – COLCIENCIAS of Colombia and the Universidad del Norte for the Doctoral scholarship. Also expresses their deep thanks to the Universidad del Sinú Elías Bechara Zainúm for the scholar and financial support.",,Advances in Intelligent Systems and Computing,Information Technology and Systems,"Álvaro Rocha, Carlos Ferrás, Manolo Paredes",,2019-01-29,2019,2019-01-29,2019,918,,122-130,Closed,Chapter,"Hernández-Julio, Yamid Fabián; Hernández, Helmer Muñoz; Guzmán, Javier Darío Canabal; Nieto-Bernal, Wilson; Díaz, Romel Ramón González; Ferraz, Patrícia Ponciano","Hernández-Julio, Yamid Fabián (Faculty of Economics, Administrative and Accounting Sciences, University of the Sinú Elías Bechara Zainúm, Montería, Córdoba, Colombia); Hernández, Helmer Muñoz (Faculty of Economics, Administrative and Accounting Sciences, University of the Sinú Elías Bechara Zainúm, Montería, Córdoba, Colombia); Guzmán, Javier Darío Canabal (Faculty of Economics, Administrative and Accounting Sciences, University of the Sinú Elías Bechara Zainúm, Montería, Córdoba, Colombia); Nieto-Bernal, Wilson (Systems Engineering and Computation, University of the North, Barranquilla, Colombia); Díaz, Romel Ramón González (Faculty of Economics, Administrative and Accounting Sciences, University of the Sinú Elías Bechara Zainúm, Montería, Córdoba, Colombia); Ferraz, Patrícia Ponciano (Engineering Department, Universidade Federal de Lavras, Lavras, Minas Gerais, Brazil)","Hernández-Julio, Yamid Fabián (Faculty of Economics, Administrative and Accounting Sciences, University of the Sinú Elías Bechara Zainúm, Montería, Córdoba, Colombia)","Hernández-Julio, Yamid Fabián (Faculty of Economics, Administrative and Accounting Sciences, University of the Sinú Elías Bechara Zainúm, Montería, Córdoba, Colombia); Hernández, Helmer Muñoz (Faculty of Economics, Administrative and Accounting Sciences, University of the Sinú Elías Bechara Zainúm, Montería, Córdoba, Colombia); Guzmán, Javier Darío Canabal (Faculty of Economics, Administrative and Accounting Sciences, University of the Sinú Elías Bechara Zainúm, Montería, Córdoba, Colombia); Nieto-Bernal, Wilson (Universidad del Norte); Díaz, Romel Ramón González (Faculty of Economics, Administrative and Accounting Sciences, University of the Sinú Elías Bechara Zainúm, Montería, Córdoba, Colombia); Ferraz, Patrícia Ponciano (Federal University of Lavras)",11,3,,2.94,,https://app.dimensions.ai/details/publication/pub.1111784406,46 Information and Computing Sciences; 4602 Artificial Intelligence; 4605 Data Management and Data Science,
2097,pub.1120057768,10.1109/eeeic.2019.8783934,,,Distributed Generation Allocation and Sizing: A Comparison of Metaheuristics Techniques,"This paper presents a comparison of metaheuristic techniques to locate and sizing distributed generation in distribution feeder. The objective function minimizes active power losses in a radial distribution system including distributed generation. Tabu Search, Scatter Search and Ant Colony were the techniques used to compare results in minimization losses and improvement of voltage profiles in critical nodes when distributed generation was included in distribution feeder. The analysis compares the performance of techniques in term of accuracy and execution times.",,,,2019 IEEE International Conference on Environment and Electrical Engineering and 2019 IEEE Industrial and Commercial Power Systems Europe (EEEIC / I&CPS Europe),,,2019-06-14,2019,,2019-06-14,00,,1-6,Closed,Proceeding,"Lopez, Luis; Doria-Garcia, Jose; Pimienta, Carlos; Arango-Manrique, Adriana","Lopez, Luis (Dept. of Electrical & Electronics Engineering, Universidad del Norte, Barranquilla, Colombia); Doria-Garcia, Jose (Dept. of Electrical & Electronics Engineering, Universidad del Norte, Barranquilla, Colombia); Pimienta, Carlos (Dept. of Electrical & Electronics Engineering, Universidad del Norte, Barranquilla, Colombia); Arango-Manrique, Adriana (Dept. of Electrical & Electronics Engineering, Universidad del Norte, Barranquilla, Colombia)","Lopez, Luis (Universidad del Norte)","Lopez, Luis (Universidad del Norte); Doria-Garcia, Jose (Universidad del Norte); Pimienta, Carlos (Universidad del Norte); Arango-Manrique, Adriana (Universidad del Norte)",5,2,,1.26,,https://app.dimensions.ai/details/publication/pub.1120057768,"40 Engineering; 4008 Electrical Engineering; 4009 Electronics, Sensors and Digital Hardware",
2079,pub.1122511402,10.1109/isgt-la.2019.8895376,,,Simulation of a Slider-Crank Mechanism Driven by a Buoy for Wave Energy Converters Applications,"The generation of electric power from non-conventional sources has been in constant technological growth during the last decades. Among the non-conventional sources, the energy produced by the ocean has drawn the attention of many researchers due to their enormous potential, generating studies around this issue. Currently, there exist various types of mechanisms to absorb the energy of the ocean, the wave energy converter, the tidal energy converters, and others. In this paper, we study a wave energy converter through the utilization of Simulink/MATLAB software. The proposed device is a slider-crank mechanism connected to a spherical buoy. To ensure the continuous generation of energy from the device, under different conditions of the wave, a flywheel is implemented. The obtained results would support the development of a design methodology for the dimensional synthesis of the mechanism that will ensure the application of this technology.",,,,2019 IEEE PES Innovative Smart Grid Technologies Conference - Latin America (ISGT Latin America),,,2019-01-18,2019,,2019-01-18,00,,1-5,Closed,Proceeding,"Martinez, Carlos Pimienta; SanJuan, Javier; Oliveros, Ingrid; Gómez, Ever; Albarrán, Juan; Peña, Julio Cesar","Martinez, Carlos Pimienta (Dept. of Electrical Engineering, Universidad del Norte, Barranquilla, Colombia); SanJuan, Javier (Dept. of Mechanical Engineering, Universidad del Norte, Barranquilla, Colombia); Oliveros, Ingrid (Dept. of Electrical Engineering, Universidad del Norte, Barranquilla, Colombia); Gómez, Ever (Dept. of Mechanical Engineering, Universidad del Norte, Barranquilla, Colombia); Albarrán, Juan (Dept. of Mechanical Engineering, Universidad del Norte, Barranquilla, Colombia); Peña, Julio Cesar (Dept. of Mechanical Engineering, Universidad del Norte, Barranquilla, Colombia)","Martinez, Carlos Pimienta (Universidad del Norte)","Martinez, Carlos Pimienta (Universidad del Norte); SanJuan, Javier (Universidad del Norte); Oliveros, Ingrid (Universidad del Norte); Gómez, Ever (Universidad del Norte); Albarrán, Juan (Universidad del Norte); Peña, Julio Cesar (Universidad del Norte)",2,1,,0.56,,https://app.dimensions.ai/details/publication/pub.1122511402,40 Engineering; 4015 Maritime Engineering,7 Affordable and Clean Energy
2053,pub.1112615948,10.1109/tpec.2019.8662151,,,A Self-Commutated System for Combining Energy Sources to Improve Electric Power Service Reliability,"This paper presents a prioritized scheme for combining conventional and non-conventional sources to improve power service reliability. The proposed system interconnects different energy sources (i.e. grid, solar, wind and batteries) in a DC-based core eliminating the necessity of synchronization schemes. If the grid fails, the system acts as an uninterruptible power system proving energy from the other sources without any transfer time. A diode-based OR-gate circuitry is able to self-commutate given the I vs V curve of the solar panel allowing source combination to be transparent to the user. The diode efficiency is estimated and measured reporting close to 94%, which justifies the proposed DC core approach. The system is complemented with converters that, for the case of commercially available devices, produce a measured total efficiency up to 82%. Such performance metric is possible considering a battery system with embedded configuration mechanism that bypasses the batteries when not required. For this work, the battery pack is selected small, so that the system can be kept affordable in terms of price and maintenance. As the backup system is limited, the platform is equipped with a load shedding strategy to provide uninterruptible energy only to predefined essential loads. During normal operation, the proposed system offers economic benefits for users since reduces the power energy required from the grid.","The authors thank Universidad del Norte for the support given through the Energy Strategic Area program and for the availability of the Renewable Energies Laboratory, UniGRID, supported by the autonomous patrimony national of funding for science, technology and innovation FRANCISCO JOSE DE CALDAS.",,,2019 IEEE Texas Power and Energy Conference (TPEC),,,2019-02-08,2019,,2019-02-08,00,,1-6,Closed,Proceeding,"Navarro, Loraine; Santiago, Miguel; Pardo, Mauricio","Navarro, Loraine (Electrical and Electronics Eng. Dpt., Universidad del Norte, Barranquilla, Colombia); Santiago, Miguel (Electrical and Electronics Eng. Dpt., Universidad del Norte, Barranquilla, Colombia); Pardo, Mauricio (Electrical and Electronics Eng. Dpt., Universidad del Norte, Barranquilla, Colombia)","Navarro, Loraine (Universidad del Norte)","Navarro, Loraine (Universidad del Norte); Santiago, Miguel (Universidad del Norte); Pardo, Mauricio (Universidad del Norte)",4,0,,1.01,,https://app.dimensions.ai/details/publication/pub.1112615948,"40 Engineering; 4008 Electrical Engineering; 4009 Electronics, Sensors and Digital Hardware",7 Affordable and Clean Energy
2024,pub.1122782736,10.1057/978-3-319-76971-4_144,,,Paraguay,,,,,International Handbook of Universities 2019,,,2019-11-23,2019,2019-11-23,2019,,,4887-4907,Closed,Chapter,,,,,0,0,,,,https://app.dimensions.ai/details/publication/pub.1122782736,,
