"About the data: Exported on Oct 01, 2024. Criteria: '""Universidad del Norte"" OR ""universidad del norte"" OR ""University of the North"" OR ""university of the north"" OR ""Uninorte"" OR ""uninorte""' in full data; Publication Year is 2020; Publication Type is Preprint or Monograph or Edited Book or Proceeding.  Note: For hyper-authorship publications with more than 100 authors the export does not include author names and affiliations. © 2024 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Funding,Source title,Anthology title,Book editors,MeSH terms,Publication date,PubYear,Publication date (online),Publication date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
3842,pub.1125767425,10.1109/tpec48276.2020.9042546,,,A Lab-oriented Testing Platform for Emulating a Wind Turbine in a DC Microgrid,"This paper describes the process of devising a wind turbine emulator using spare equipment selected out of information obtained from a complete characterization of an actual 600W wind turbine based on a permanent-magnet electrical machine. The challenge is to assemble a working wind turbine emulator reflecting the turbine behavior which consists on that the shaft spin is not fixed for a given wind velocity but depends on the target power to be delivered. This task is achieved via a PID controller that can be tuned after proper modelling of the wind turbine emulator. Since the emulator components are different and include even nonlinear components, a strategy of black box modelling is preferred. Artificial Neural Networks are used due to their capabilities as universal approximators, and supervised learning is chosen as the learning strategy due to its positive results in black box modelling. A DC generator is selected for the emulator which eases its interconnection with a DC microgrid testbench available at a laboratory intended for studying the effect of renewable energies in conventional power systems. The excitation voltage and the RPM range of the DC generator allow to create an emulator with a 10:1 power ratio that in fact agrees with the power handling specifications of the microgrid testbench.","The authors thank Universidad del Norte for support given through the Energy Strategic Program and for the Renewable Energy Laboratory, UniGRID, supported by the autonomous patrimony national of funding for science, technology and innovation FRANCISCO JOSE DE CALDAS, COLCIENCIAS Code 57598 Grant 037-2018. The authors thank Universidad del Norte for support given through the Energy Strategic Program and for the Renewable Energy Laboratory, UniGRID, supported by the autonomous patrimony national of funding for science, technology and innovation FRANCISCO JOSE DE CALDAS, COLCIENCIAS Code 57598 Grant 037-2018.",,,2020 IEEE Texas Power and Energy Conference (TPEC),,,2020-02-06,2020,,2020-02-06,00,,1-6,Closed,Proceeding,"Navarro, Loraine; Christian, G.; Quintero, M.; Pardo, Mauricio","Navarro, Loraine (Electrical and Electronics Eng. Dpt., Universidad del Norte, Barranquilla, Colombia); Christian, G. (Electrical and Electronics Eng. Dpt., Universidad del Norte, Barranquilla, Colombia); Quintero, M. (Electrical and Electronics Eng. Dpt., Universidad del Norte, Barranquilla, Colombia); Pardo, Mauricio (Electrical and Electronics Eng. Dpt., Universidad del Norte, Barranquilla, Colombia)",,"Navarro, Loraine (Universidad del Norte); Christian, G. (Universidad del Norte); Quintero, M. (Universidad del Norte); Pardo, Mauricio (Universidad del Norte)",5,4,,1.35,,https://app.dimensions.ai/details/publication/pub.1125767425,"40 Engineering; 4007 Control Engineering, Mechatronics and Robotics; 4008 Electrical Engineering; 4009 Electronics, Sensors and Digital Hardware",13 Climate Action; 7 Affordable and Clean Energy
3299,pub.1132751765,10.1109/gmax49668.2020.9256831,,,Video games development as an opportunity for social impact,"The need for a more inclusive society for persons with disabilities is increasing every day, as governments are required to create the appropriate legal framework for improving environments such as public and private spaces, as long as educational and work environments. The progress has been slow, and there are still many areas where integration has been nonexistent. In Colombia, the government has improved several areas, but there are many needs for people with disabilities in education, who are usually left behind. We propose here a program for building inclusive mobile applications for children and adults with disabilities. The developers of those games will be high school students from schools in Barranquilla, and using this approach will teach them about inclusion. The users of those applications will be the children and adults with special needs served by institutions for students with special needs. In this paper, we present the methodology, software, and hardware architecture design and preliminary evidence of the positive effect that this kind of project can have on undergraduate students.","We want to thank the IEEE EPICS program, which has funded the project, the Apanexda Institution, which will be the educational tools recipient, and the undergraduate students for their committed participation in the project. We want to thank the IEEE EPICS program, which has funded the project, the Apanexda Institution, which will be the educational tools recipient, and the undergraduate students for their committed participation in the project.",,,"2020 IEEE Games, Multimedia, Animation and Multiple Realities Conference (GMAX)",,,2020-01-18,2020,,2020-01-18,00,,1-6,Closed,Proceeding,"Jimeno, Miguel; Wightman, Pedro; Salazar, Augusto; García, Lucy; Capacho, Jose","Jimeno, Miguel (Systems Engineering Department, Unversidad del Norte, Barranquilla, Colombia); Wightman, Pedro (Systems Engineering Department, Unversidad del Norte, Barranquilla, Colombia); Salazar, Augusto (Systems Engineering Department, Unversidad del Norte, Barranquilla, Colombia); García, Lucy (Systems Engineering Department, Unversidad del Norte, Barranquilla, Colombia); Capacho, Jose (Systems Engineering Department, Unversidad del Norte, Barranquilla, Colombia)",,"Jimeno, Miguel (Systems Engineering Department, Unversidad del Norte, Barranquilla, Colombia); Wightman, Pedro (Systems Engineering Department, Unversidad del Norte, Barranquilla, Colombia); Salazar, Augusto (Systems Engineering Department, Unversidad del Norte, Barranquilla, Colombia); García, Lucy (Systems Engineering Department, Unversidad del Norte, Barranquilla, Colombia); Capacho, Jose (Systems Engineering Department, Unversidad del Norte, Barranquilla, Colombia)",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1132751765,39 Education; 3904 Specialist Studies In Education; 46 Information and Computing Sciences,4 Quality Education
2863,pub.1131322578,10.15332/dt.inv.2020.01183,,,Informe bibliométrico - Caracterización de tema “gestión de la seguridad y salud en el trabajo en organizaciones colombianas de diferentes sectores”,,,,,,,,2020,2020,2020,2020,,,,Closed,Monograph,"C. A., Corchuelo-Rodriguez","C. A., Corchuelo-Rodriguez ()",,"C. A., Corchuelo-Rodriguez ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1131322578,,
2533,pub.1128106883,10.26640/25007017.1.2019,,,Informe Anual del Centro Colombiano de Datos Oceanográficos (Cecoldo) 2019,,,,,,,,2020,2020,2020,2020,,,,All OA; Hybrid,Edited Book,,,,,1,0,,,https://doi.org/10.26640/25007017.1.2019,https://app.dimensions.ai/details/publication/pub.1128106883,,
2076,pub.1136162867,10.1145/3436756.3437014,,,Design and development of a web App for ICT and intercultural competences professor self-training,"This article describes the design and development of a web app to improve the intercultural and ICT competences of university professors, allowing them to create virtual intercultural learning environments. It proposes approaches based on principles of self-training, virtual education, interculturality, and universal learning design. Its development is adopted from the ADDIE instructional design model. The App considers the phenomenon of the use of technology as a means for self-training and appropriation of competences in virtual intercultural learning environments.",,,,2020 12th International Conference on Education Technology and Computers,,,2020-10-23,2020,2021-03-06,2020-10-23,,,17-20,Closed,Proceeding,"Ricardo-Barreto, Carmen; Jabba, Daladier","Ricardo-Barreto, Carmen (Universidad del Norte, Colombia); Jabba, Daladier (Universidad del Norte, Colombia)",,"Ricardo-Barreto, Carmen (Universidad del Norte); Jabba, Daladier (Universidad del Norte)",2,1,,1.21,,https://app.dimensions.ai/details/publication/pub.1136162867,39 Education; 3903 Education Systems; 46 Information and Computing Sciences,4 Quality Education
2061,pub.1133226270,10.1109/andescon50619.2020.9272060,,,A Review of Use of non-Conventional Renewable Energies in Healthcare Facilities and Hospitals,"This paper shows a summary of the review related to the use of non-conventional energy sources in sanitary facilities. The group of researchers decided to select only two topics to advance this review: energy demand and energy efficiency. They also analyzed the modeling of hybrid power systems, for optimization methods. The group found successful cases at the international and national level where they implemented heuristic and metaheuristic methods to solve optimization problems in hybrid systems made up of non- conventional energy sources (NCRE). While previous research and successful cases have used these techniques to solve design and sizing problems in these systems, this work seeks to apply these techniques to perform energy flow optimization in hybrid systems that can be implemented in sanitary facilities located in the Department of La Guajira.","The authors thank the Universidad del Norte, the High-Level Human Capital Formation for Regions-Guajira de Colciencias program, and the autonomous national heritage of financing for science, technology, and innovation. FRANCISCO JOSE DE CALDAS, COLCIENCIAS Code 57598 Grant 037-2018. The authors thank the Universidad del Norte, the High-Level Human Capital Formation for Regions-Guajira de Colciencias program, and the autonomous national heritage of financing for science, technology, and innovation. FRANCISCO JOSE DE CALDAS, COLCIENCIAS Code 57598 Grant 037-2018.",,,2020 IEEE ANDESCON,,,2020-10-16,2020,,2020-10-16,00,,1-6,Closed,Proceeding,"Dangond, Juan David Acosta; Pantoja, Ingrid Oliveros; Soto, Jose D.; Solano, Lácides Ripoll; López, Luis","Dangond, Juan David Acosta (Dept. of Electrical & Electronics Eng., Universidad del Norte, Barranquilla, Colombia); Pantoja, Ingrid Oliveros (Dept. of Electrical & Electronics Eng., Universidad del Norte, Barranquilla, Colombia); Soto, Jose D. (Dept. of Electrical & Electronics Eng., Universidad del Norte, Barranquilla, Colombia); Solano, Lácides Ripoll (Dept. of Electrical & Electronics Eng., Universidad del Norte, Barranquilla, Colombia); López, Luis (Dept. of Electrical & Electronics Eng., Universidad del Norte, Barranquilla, Colombia)","Dangond, Juan David Acosta (Universidad del Norte)","Dangond, Juan David Acosta (Universidad del Norte); Pantoja, Ingrid Oliveros (Universidad del Norte); Soto, Jose D. (Universidad del Norte); Solano, Lácides Ripoll (Universidad del Norte); López, Luis (Universidad del Norte)",2,1,,0.53,,https://app.dimensions.ai/details/publication/pub.1133226270,40 Engineering; 46 Information and Computing Sciences; 4605 Data Management and Data Science,13 Climate Action; 7 Affordable and Clean Energy
2031,pub.1131328383,10.2139/ssrn.3651337,,,Los Cuatro Conflictos Del Caribe Colombiano: Balance De La Confrontación Armada Durante El Primer Semestre Del 2020 (the Four Conflicts in the Colombian Caribbean: Assessment of the Armed Confrontation During the First Half of 2020),"Spanish abstract: Informe del Centro de Pensamiento UNCaribe sobre la confrontación armada en el Caribe colombiano. Se determina que actualmente en la región persisten cuatro conflictos armados, localizados en el sur de Córdoba, el sur de Bolívar, el sur del Cesar y la Sierra Nevada de Santa Marta. Se habla de cuatro guerras, porque cada una tiene dinámicas autónomas que no necesariamente se conectan entre ellas, con actores y rentas legales e ilegales distintas.English abstract: Report of the UNCaribe Think Tank on the armed confrontation in the Colombian Caribbean. It is determined that currently four armed conflicts persist in the region, located in the south of Córdoba, the south of Bolívar, the south of Cesar and the Sierra Nevada de Santa Marta. We speak of four wars, because each one has autonomous dynamics that are not necessarily connected between them, with different legal and illegal actors and incomes.Translated with www.DeepL.com/Translator (free version)",,,SSRN Electronic Journal,,,,2020,2020,,,,,,All OA; Green,Preprint,"Trejos, Luis; Badillo, Reynell","Trejos, Luis (Universidad del Norte); Badillo, Reynell (Asistente del Centro de Pensamiento UNCaribe; Universidad del Norte)",,"Trejos, Luis (Universidad del Norte); Badillo, Reynell (Asistente del Centro de Pensamiento UNCaribe; Universidad del Norte)",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1131328383,48 Law and Legal Studies; 4802 Environmental and Resources Law,"16 Peace, Justice and Strong Institutions"
1977,pub.1130017075,10.15332/dt.inv.2020.00640,,,"Capítulo 9: Los intelectuales católicos en la etapa fundacional de la Universidad del Norte Santo Tomás de Aquino (1948-1965). Tucumán, Argentina",,,,,,,,2020,2020,2020,,,,,All OA; Hybrid,Monograph,"Folquer, O.P Cynthia; Abalo, Esteban","Folquer, O.P Cynthia (); Abalo, Esteban ()",,"Folquer, O.P Cynthia (); Abalo, Esteban ()",0,0,,,https://repository.usta.edu.co/bitstream/11634/23630/1/Capitulo9intelectualescatolicos2020albertotellez.pdf,https://app.dimensions.ai/details/publication/pub.1130017075,,
1974,pub.1131363740,10.2139/ssrn.3651343,,,Balance Del Primer Semestre 2018: Nuevos Actores Violentos Y Asedio a Los Liderazgos Sociales En El Caribe Colombiano (Assessment of the First Half of 2018: New Violent Actors and the Siege of Social Leadership in the Colombian Caribbean Region),"Spanish Abstract: Análisis de la violencia armada en el Caribe colombiano durante el primer semestre del 2018. En el texto se evidencia que en el Caribe colombiano hay tres subregiones con altos niveles de conflictividad armada: los sures del Cesar, Bolívar y Córdoba. Allí, la desmovilización de las FARC-EP no significó el fin de la violencia armada, sino su reconfiguración.English Abstract: Analysis of armed violence in the Colombian Caribbean during the first half of 2018. The text shows that in the Colombian Caribbean there are three sub-regions with high levels of armed conflict: the south of Cesar, Bolívar and Córdoba. There, the demobilization of the FARC-EP did not mean the end of armed violence, but rather its reconfiguration.",,,SSRN Electronic Journal,,,,2020,2020,,,,,,All OA; Green,Preprint,"Badillo, Reynell","Badillo, Reynell (Asistente del Centro de Pensamiento UNCaribe; Universidad del Norte)",,"Badillo, Reynell (Asistente del Centro de Pensamiento UNCaribe; Universidad del Norte)",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1131363740,"47 Language, Communication and Culture; 4704 Linguistics; 48 Law and Legal Studies","16 Peace, Justice and Strong Institutions"
1973,pub.1133440770,10.2139/ssrn.3712680,,,Violencia posAUC en Colombia: continuidades y rupturas con el paramilitarismo (Post-AUC Violence in Colombia: Continuities and Breaks With Paramilitarism),"Spanish abstract: En este texto se argumenta que los grupos armados posdesmovilización en Colombia, si bien tienen características que pueden asimilarse con su organización predecesora (las AUC), no tienen una naturaleza contrainsurgente ni vínculos institucionales sostenidos con el Estado colombiano (aunque puedan tenerlos con agentes del mismo a nivel local). Por tanto, no pueden entenderse como grupos paramilitares o de autodefensa. Para sostener esta idea, en primer lugar, se hace una breve reconstrucción de los conceptos de paramilitarismo y autodefensas y, finalmente, se argumenta por qué esas definiciones no necesariamente son útiles para comprender la naturaleza de la violencia actual en el país. De igual manera, se identifican las continuidades entre estos grupos y las AUC.English abstract: This text argues that the Colombian post-demobilization armed groups, while having characteristics that can be assimilated with their predecessor organization (the AUC), do not have a counter-insurgent nature or sustained institutional links with the Colombian state (although they may have them with agents of the state at the local level). Therefore, they cannot be understood as paramilitary or self-defense groups. To support this idea, first of all, we briefly reconstruct the concepts of paramilitarism and self-defense, and finally we argue that these definitions are not necessarily useful for understanding the nature of the current violence in the country. Similarly, the continuities between these groups and the AUC are identified.",,,SSRN Electronic Journal,,,,2020,2020,,,,,,All OA; Green,Preprint,"Trejos, Luis; Badillo, Reynell","Trejos, Luis (Universidad del Norte); Badillo, Reynell (Asistente del Centro de Pensamiento UNCaribe; Universidad del Norte)",,"Trejos, Luis (Universidad del Norte); Badillo, Reynell (Asistente del Centro de Pensamiento UNCaribe; Universidad del Norte)",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1133440770,44 Human Society; 4408 Political Science,"16 Peace, Justice and Strong Institutions"
