"About the data: Exported on Oct 01, 2024. Criteria: '""Universidad del Norte"" OR ""universidad del norte"" OR ""University of the North"" OR ""university of the north"" OR ""Uninorte"" OR ""uninorte""' in full data; Publication Year is 2020; Publication Type is Monograph or Proceeding or Edited Book; Open Access is Closed.  Note: For hyper-authorship publications with more than 100 authors the export does not include author names and affiliations. © 2024 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Funding,Source title,Anthology title,Book editors,MeSH terms,Publication date,PubYear,Publication date (online),Publication date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
40,pub.1120309509,10.1007/978-3-030-27928-8,,,"Human Systems Engineering and Design II, Proceedings of the 2nd International Conference on Human Systems Engineering and Design (IHSED2019): Future Trends and Applications, September 16-18, 2019, Universität der Bundeswehr München, Munich, Germany","This book focuses on novel design and systems engineering approaches, including theories and best practices, for promoting a better integration of people and engineering systems. It covers a range of hot topics related to: development of human-centered systems; interface design and human-computer interaction; usability and user experience; emergent properties of human behavior; innovative materials in manufacturing, biomechanics, and sports medicine, safety engineering and systems complexity business analytics, design and technology and many more. The book, which gathers selected papers presented at the 2nd International Conference on Human Systems Engineering and Design: Future Trends and Applications (IHSED 2019), held on September 16-18, 2019, at Universität der Bundeswehr München, Munich, Germany, provides researchers, practitioners and program managers with a snapshot of the state-of-the-art and current challenges in the field of human systems engineering and design.",,,Advances in Intelligent Systems and Computing,,"Tareq Ahram, Waldemar Karwowski, Stefan Pickl, Redha Taiar",,2020,2020,,2020,1026,,,Closed,Edited Book,,,,,23,6,,7.33,,https://app.dimensions.ai/details/publication/pub.1120309509,40 Engineering; 46 Information and Computing Sciences; 4608 Human-Centred Computing,
130,pub.1127853812,10.1007/978-3-030-34065-0,,,"Food Supply Chains in Cities, Modern Tools for Circularity and Sustainability","This book analyses the food sector which has economic and political significance for all countries. A highly fragmented and heavily regulated sector, it has become increasingly complex owing to globalisation and geographical decoupling of production and consumption activities. The urban population of the world has grown from 746 million in 1950 to 3.9 billion in 2014 and more than 70% of the population is anticipated to be living in urban areas by 2050. Food supply chains play a vital role in feeding the world’s most populous cities, whilst underpinning transportation, storage, distribution, and waste management activities for the sustainability of the urban environment. That is why, this book presents the latest research on food supply chain management with a focus on urbanisation. The contributions involve food distribution in cities, food waste minimisation, and food security with a focus on models and approaches to achieve more sustainable and circular food supply chains.",,,,,"Emel Aktas, Michael Bourlakis",,2020,2020,,2020,,,,Closed,Edited Book,,,,,13,9,,4.19,,https://app.dimensions.ai/details/publication/pub.1127853812,"35 Commerce, Management, Tourism and Services; 3509 Transportation, Logistics and Supply Chains; 44 Human Society; 4406 Human Geography",11 Sustainable Cities and Communities; 12 Responsible Consumption and Production; 2 Zero Hunger
41,pub.1128316724,10.1093/oxfordhb/9780190926557.001.0001,,,The Oxford Handbook of the Sociology of Latin America,"Abstract This handbook presents a collection of essays including the development of crucial contributions to sociological debates in Latin America over the last 80 years, the period in which the sociology discipline became institutionalized in the region. The sociology of Latin America is a thriving field whose major contributions include Dependence theory, World-systems theory, historical debates on economic development, among others. This handbook offers research essays that introduce the readers to the main assessments of the discipline’s key areas and current trends, specifically with regard to contemporary sociology in Latin America, as well as a collection of innovative empirical studies deploying a variety of qualitative and quantitative methodologies. The handbook is organized in eight subfields in which the most significant theoretical and methodological contributions are being made. These include studies in classical areas of sociology, such as sociology of inequalities, sociology of religions, and the well-established sociology of the state, collective action and social movements. The sociology of migrations in Latin America, which has rapidly consolidated into a specialized subfield in the region, provides analytical and conceptual categories that offer alternative theories. This collection also offers a group of sociological studies in diverse fields such as sociology of gender, medical sociology, and sociology of violence. Due to the deterioration of social and economic conditions, as well as recent disruptions to an already tense political environment, these have become some of the most productive and important fields in the sociology of the region. This roiling sociopolitical atmosphere also generates new and innovative expressions of protest and survival, which are being explored by sociologists across different continents today. The essays included in this collection presents a guided map and a thematic articulation to central sociological debates that introduces readers to contemporary sociology in Latin America.",,,,,"Xóchitl Bada, Liliana Rivera-Sánchez",,2020-06-08,2020,2020-06-08,2021-06-10,,,,Closed,Edited Book,,,,,4,2,,1.83,,https://app.dimensions.ai/details/publication/pub.1128316724,44 Human Society; 4410 Sociology,10 Reduced Inequalities
143,pub.1132790580,10.1007/978-3-030-47483-6,,,"Biomedical Visualisation, Volume 8","This edited book explores the use of technology to enable us to visualise the life sciences in a more meaningful and engaging way. It will enable those interested in visualisation techniques to gain a better understanding of the applications that can be used in visualisation, imaging and analysis, education, engagement and training. The reader will be able to explore the utilisation of technologies from a number of fields to enable an engaging and meaningful visual representation of the biomedical sciences, with a focus in this volume related to anatomy, and clinically applied scenarios. The first six chapters in this volume show the wide variety of tools and methodologies that digital technologies and visualisation techniques can be utilised and adopted in the educational setting. This ranges from body painting, clinical neuroanatomy, histology and veterinary anatomy through to real time visualisations and the uses of digital and social media for anatomical education. The last four chapters represent the diversity that technology has to be able to use differing realities and 3D capture in medical visualisation, and how remote visualisation techniques have developed. Finally, it concludes with an analysis of image overlays and augmented reality and what the wider literature says about this rapidly evolving field.",,,Advances in Experimental Medicine and Biology,,Paul M. Rea,,2020,2020,,2020,1320,,,Closed,Edited Book,,,,,1,1,,,,https://app.dimensions.ai/details/publication/pub.1132790580,31 Biological Sciences; 32 Biomedical and Clinical Sciences,4 Quality Education
118,pub.1124433109,10.1007/978-3-030-40690-5,,,"Information Technology and Systems, Proceedings of ICITS 2020","This book is composed by the papers accepted for presentation and discussion at The 2019 International Conference on Information Technology & Systems (ICITS'20), held at the Universidad Distrital Francisco José de Caldas, in Bogotá, Colombia, on 5th to 7th February 2020. ICIST is a global forum for researchers and practitioners to present and discuss recent findings and innovations, current trends, professional experiences and challenges of modern information technology and systems research, together with their technological development and applications. The main topics covered are: information and knowledge management; organizational models and information systems; software and systems modelling; software systems, architectures, applications and tools; multimedia systems and applications; computer networks, mobility and pervasive systems; intelligent and decision support systems; big data analytics and applications; human–computer interaction; ethics, computers& security; health informatics; information technologies in education.",,,Advances in Intelligent Systems and Computing,,"Álvaro Rocha, Carlos Ferrás, Carlos Enrique Montenegro Marin, Víctor Hugo Medina García",,2020,2020,,2020,1137,,,Closed,Edited Book,,,,,4,1,,1.42,,https://app.dimensions.ai/details/publication/pub.1124433109,"35 Commerce, Management, Tourism and Services; 3503 Business Systems In Context; 46 Information and Computing Sciences; 4608 Human-Centred Computing; 4609 Information Systems; 4612 Software Engineering",
15,pub.1131548436,10.1093/oxfordhb/9780190930028.001.0001,,,The Oxford Handbook of Global South Youth Studies,"Abstract Ninety percent of the world’s youth live in Africa, Latin America and the developing countries of Asia. Despite this, the field of Youth Studies, like many others, is dominated by the knowledge economy of the Global North. To address these geopolitical inequalities of knowledge, The Oxford Handbook of Global South Youth Studies offers a contribution from Southern scholars to remake Youth Studies from its current state, that universalizes Northern perspectives, into a truly Global Youth Studies. Contributors from across the Global South—including from Diaspora, Indigenous and Aboriginal communities—locate and define ‘the Global South’; articulate the necessity of studying Southern lives to enrich, reinterpret, legitimate, and offer symmetry to youth studies; and use Southern theory to do so. Eleven concepts—personhood, intersectionality, violences, de- and postcoloniality, consciousness, precarity, fluid modernities, ontological insecurity, navigational capacities, collective agency, and emancipation – are reimagined and ‘re-presented.’ The outcome is a series of everyday practices such as hustling, navigating, fixing, waiting, being on standby, silence, and life-writing that demonstrate how youth living in adversity experiment with and push back against routine and conformity, and how research may support them in these endeavors and, simultaneously, redefine the relationships between knowledge, practice, and politics – what the editors term epistepraxis. The handbook concludes with a nascent charter for a Global Youth Studies of benefit to the world, which no longer excludes, assumes, or elides but embraces new possibilities for representing youth, researching among them, and devising policies and interventions to better serve them.",,,,,"Sharlene Swartz, Adam Cooper, Clarence M. Batan, Laura Kropff Causa",,2020-10-08,2020,2020-10-08,2021-10-14,,,,Closed,Edited Book,,,,,13,7,,15.97,,https://app.dimensions.ai/details/publication/pub.1131548436,"44 Human Society; 47 Language, Communication and Culture; 4702 Cultural Studies",
5,pub.1130181223,10.1007/978-94-017-8905-9,,,The International Encyclopedia of Higher Education Systems and Institutions,"This authoritative reference source covers all higher education themes in a comprehensive, accessible and comparative way. It maps the field for the twenty first century reflecting the massive changes that have occurred and the challenges ahead for future research. It provides a rich diversity of scholarly perspectives and covers the entire spectrum of higher education from a geographical, a topical and disciplinary perspective. It is unrivaled in its capacity to go beyond national boundaries and provides indispensible comparative analyses. The major reference works available about higher education have been published more than two decades ago and since then higher education has undergone major changes that have resulted in a much larger, diverse, global, and multidimensional reality. One of the main trends has been relentless expansion on a worldwide scale. This has led to mass higher education becoming a reality across continents, substantial growth in the number of countries with universal access to higher education, and great diversification of the student body. The tremendous increase in the international links in higher education, through issues such as training, students’ mobility, staff mobility, research activities, is another major change. The consequence is a global dimension that is strongly associated with the intensification of international networks in which institutions and researchers explore, create and share knowledge. As a result of the changes and trends, higher education has increasingly become part of debates that highlight its complexity as an institution that combines relevant political, social, economic, and cultural purposes and dimensions. Asked to play important and varied economic and social roles, higher education has had to reshape its priorities, and organizational and decision-making structures. The growth and increased complexity of the field have both led to more attention being paid to all aspects of higher education and to the expansion of research.",,,,,"Pedro Nuno Teixeira, Jung Cheol Shin",,2020,2020,,2020,,,,Closed,Edited Book,,,,,22,11,,14.65,,https://app.dimensions.ai/details/publication/pub.1130181223,"39 Education; 3902 Education Policy, Sociology and Philosophy; 3903 Education Systems",4 Quality Education
12,pub.1124625892,10.1093/med/9780198746690.001.0001,,,Oxford Textbook of Medicine,"Abstract The Oxford Textbook of Medicine is published online and has been regularly updated for many years, but the production of a new and very substantially updated edition provides a moment when it is natural and proper to reflect on what has changed in Medicine—and what has not—in recent years. The sixth edition of the textbook considers exactly what modern medicine has to offer patients and their doctors. Advances in biomedical sciences, the broader context of health and disease, patients and their expectations, and access to medical knowledge are some of the key areas examined in detail among the 30 sections of the book. Sections include introductory sections on patients and their treatment, background to medicine, cell biology, and immunological mechanisms, as well as more subject-specific sections such as infectious diseases, neurological disorders, cardiovascular disorders, rheumatology, and the kidney, as well as many more.",,,,,"John Firth, Christopher Conlon, Timothy Cox",,2020-01,2020,2020-01,2020-03,,,,Closed,Edited Book,,,,,8,5,,9.37,,https://app.dimensions.ai/details/publication/pub.1124625892,50 Philosophy and Religious Studies; 5002 History and Philosophy Of Specific Fields,3 Good Health and Well Being
26,pub.1132061177,10.1007/978-3-030-30018-0,,,Encyclopedia of Global Archaeology,"This second edition of the multi-volume work goes beyond the comprehensive and systematic coverage of archaeology that appears in the first edition. The field of archaeology continues to grow and the collaborations between archaeologists and researchers in other areas - environmental studies, landscape studies, art history, demography, biomedicine, chemistry, museum specialists, etc. - continues to grow. This second edition builds on the massive collection of information and research from the first edition by adding new entries as well as updating the existing entries. The entries in this encyclopedia range from succinct summaries of specific sites and the scientific aspects of archaeological enquiry to detailed discussions of archaeological concepts, theories and methods, and from investigations into the social, ethical and political dimensions of archaeological practice to biographies of leading archaeologists from throughout the world. The different forms of archaeology are explored, along with the techniques used for each and the challenges, concerns and issues that face archaeologists today. This compendium is both a print reference and an online reference work. One of the encyclopedia’s major innovations is that it harnesses the capabilities of an online environment, enhancing both the presentation and dissemination of information. Most particularly, the continuous updating allowed by an online environment should ensure that the Encyclopedia of Global Archaeology is a definitive reference work for archaeology and archaeologists.",,,,,Claire Smith,,2020,2020,,2020,,,,Closed,Edited Book,,,,,16,11,,17.61,,https://app.dimensions.ai/details/publication/pub.1132061177,"43 History, Heritage and Archaeology; 4301 Archaeology; 4303 Historical Studies",
122,pub.1126165272,10.1163/9789004435315,,,"Comparative Constitutional History, Volume One: Principles, Developments, Challenges","George Bancroft (1800–1891) was an influential statesman, historian and educator. He was one of the first Americans to attend the University of Göttingen as a young man in order to master multiple academic disciplines and educational techniques that the young United States needed. At Göttingen, Bancroft became fascinated by German constitutional theory and history, their connection to politics and human geography, and the forerunners of German legal science. After his return to the United States, Bancroft translated into English books by Arnold Heeren, his former professor. Bancroft also set up a school and adopted German teaching methods at Round Hill in Northampton, Massachusetts, employed German scholars, and intensely engaged Göttingen academics and other Americans who looked to Germany for pedagogic and constitutional inspiration. A close reading of Bancroft’s translations and correspondence suggests that this was not a one-way exchange. Bancroft was instrumental not only in importing German texts and practices into the United States, but also formulated American notions of progress, abolitionism and state-systems that in turn shaped the so-called Göttingen School. Citizenship is and has for a long time been a core component of constitutional theory. The rebirth of citizenship in the quattrocento in Northern Italy from classical Greek and Roman sources of inspiration demonstrates its salience, as does the importance citizenship had in French Revolutionary thinking. In general, citizenship constitutes a reciprocal relationship between the citizen and the polity with a set of fundamental rights and obligations. These might include the right to vote for representative assemblies, the right to free movement within the territory of the state and the obligation to bear arms when required by law. However, the relationship between a state and the citizens of its overseas territories challenges the basic model of citizenship. Contrasting the approaches of the French Republic and the Kingdom of the Netherlands to the rights of citizens of overseas territories sheds light on the meaning and contours of citizenship in constitutional theory and law. Located at a crossroads between politics and law, constitutional preambles often represent the outcome of debates between different political forces over the founding principles of the Constitution. The discussions that took place during the drafting of the Preamble to the Ukrainian Constitution provide an insightful case study of this phenomenon. Influenced by its Soviet past and an unstable political environment, Ukraine has seen severe struggles among the political parties in order to reach an agreement over issues of particular sensitivity to the nation. By examining the case of Ukraine and its 1996 Constitution, this chapter also aims to contribute to the debate concerning the legal value of constitutional preambles. While stressing the theme of ‘good faith’ and surveying the decisions and opinions of courts and scholars in Hong Kong, this article delves into the issue of interpretation of the Basic Law of Hong Kong and explains why, in the face of a breach of the Joint Declaration on the Question of Hong Kong resulting from the exercise of illegal interpretative power by the Standing Committee of the National People’s Congress, it is about time for the Court of Final Appeal of Hong Kong to forcefully re-assert its power of constitutional control over the actions of the Standing Committee. This chapter examines the separation of powers and forms of government in North Africa and the Middle East following the ‘Arab Spring’ and shows that most Arab constitutions still guarantee (albeit to a lesser extent than in the past) an extremely high concentration of power in the hands of the Head of State, thus favouring the continuation in office of illiberal regimes. This weak separation of powers is due to different reasons, including the constitutional tradition, the top-down constitution-making processes and the external influences. The only notable exception (at least for the moment) is Tunisia, which is already at an advanced stage in the process of democratization. This chapter compares constitutional institutions that political thinkers in Revolutionary France, early nineteenth-century Spain, and Mexico devised with the aim of protecting constitutional order from abuses by one or more of the branches of government. The chapter focuses on two different types of historical institutions: those with moderating powers and those with conserving powers. Moderating institutions acted as buffers between legislative and executive authorities to prevent either from encroaching upon the prerogatives of the other. Conservative institutions undid unconstitutional actions and supervised constitutional order. The chapter shows that Mexicans were well-acquainted with the constitutional debates surrounding both types of institutions in France and Spain. It demonstrates that Mexican politicians not only endorsed these two types of institutions in their constitutional plans, but also reworked them to create an innovative institution of constitutional control in the 1836 Mexico Constitution: the Supreme Conservative Power. This chapter offers both a genealogy and a critique of the Portuguese system of judicial review of legislation, which blends elements of American-style diffuse control carried out by the ordinary courts and European-style concentrated control carried out by a specialized constitutional court. The genealogy suggests an unorthodox explanation of the peculiarly mixed character of the system. The critique identifies three principal flaws of the system and argues that it should be reformed. The judicial review of constitutional amendments in Colombia has evolved through the activism of constitutional judges rather than the texts of the Constitutions. In times of judicial crisis and reform to the judiciary it becomes more interesting because the constitutional judges have reviewed amendments regarding the judicial branch, as several of them have been declared unconstitutional during the last four decades. This chapter tells the trajectory of the review of constitutional amendments to the Judiciary, suggesting that one of the factors that could explain these rulings is the defence of the judicial branch by the constitutional judges. In this way, it tells the interdependency between politics and Law on the decisions that have limited the power of the Congress to reform the Judiciary, by the Supreme Court, between 1978 and 1991; as well as by the Constitutional Court as of the Constitution of 1991. Individual access to constitutional justice can take many forms. One of the most prominent examples is the individual constitutional complaint. In many constitutional courts, the constitutional complaint has become the key method for individuals to assert constitutional claims. In Germany, constitutional complaint is very well established and it extends to complaints against judicial judgments. This chapter examines individual access to constitutional justice in South Korea and Taiwan. Although the legal systems of both countries have been heavily influenced by German constitutional practices, constitutional complaint against judicial judgments is explicitly prohibited in Korea; in Taiwan such a possibility was only officially introduced in 2019 and awaits implementation in 2022. By comparatively tracing and analysing the constitutional conditions, and nature and evolution of the mechanism of individual constitutional complaint in South Korea and Taiwan, this chapter aims to shed light on variations and convergences in individual access to constitutional justice in East Asia.",,,,,"Francesco Biagi, Justin O. Frosini, Jason Mazzone",,2020-07-10,2020,,2020-07-10,,,,Closed,Edited Book,,,,,2,2,,4.63,,https://app.dimensions.ai/details/publication/pub.1126165272,"43 History, Heritage and Archaeology; 4303 Historical Studies; 47 Language, Communication and Culture","16 Peace, Justice and Strong Institutions; 4 Quality Education"
807,pub.1132429999,10.1007/978-3-030-47553-6,,,"Time and Space, Latin American Regional Development in Historical Perspective","This edited collection examines the evolution of regional inequality in Latin America in the long run. The authors support the hypothesis that the current regional disparities are principally the result of a long and complex process in which historical, geographical, economic, institutional, and political factors have all worked together. Lessons from the past can aid current debates on regional inequalities, territorial cohesion, and public policies in developing and also developed countries. In contrast with European countries, Latin American economies largely specialized in commodity exports, showed high levels of urbanization and high transports costs (both domestic and international). This new research provides a new perspective on the economic history of Latin American regions and offers new insights on how such forces interact in peripheral countries. In that sense, natural resources, differences in climatic conditions, industrial backwardness and low population density areas leads us to a new set of questions and tentative answers. This book brings together a group of leading American and European economic historians in order to build a new set of data on historical regional GDPs for nine Latin American countries: Argentina, Bolivia, Brazil, Chile, Colombia, Mexico, Peru, Uruguay and Venezuela. This transnational perspective on Latin American economic development process is of interest to researchers, students and policy makers.",,,Palgrave Studies in Economic History,,"Daniel A. Tirado-Fabregat, Marc Badia-Miró, Henry Willebald",,2020,2020,,2020,,,,Closed,Edited Book,,,,,9,3,,5.4,,https://app.dimensions.ai/details/publication/pub.1132429999,44 Human Society; 4404 Development Studies,10 Reduced Inequalities
