"About the data: Exported on Oct 01, 2024. Criteria: '""Universidad del Norte"" OR ""universidad del norte"" OR ""University of the North"" OR ""university of the north"" OR ""Uninorte"" OR ""uninorte""' in full data; Publication Year is 2020; Publication Type is Chapter; Open Access is Closed.  Note: For hyper-authorship publications with more than 100 authors the export does not include author names and affiliations. © 2024 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Funding,Source title,Anthology title,Book editors,MeSH terms,Publication date,PubYear,Publication date (online),Publication date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
2566,pub.1132748198,10.1007/978-3-030-47483-6_4,33211307,,TEL Methods Used for the Learning of Clinical Neuroanatomy,"Ubiquity of information technology is undoubtedly the most substantial change to society in the twentieth and twenty-first centuries and has resulted in a paradigm shift in how business and social interactions are conducted universally. Information dissemination and acquisition is now effortless, and the way we visualise information is constantly evolving. The face of anatomy education has been altered by the advent of such innovation with Technology-Enhanced Learning (TEL) now commonplace in modern curricula.With the constant development of new computing systems, the temptation is to push the boundaries of what can be achieved rather than addressing what should be achieved. As with clinical practice, education in healthcare should be evidence driven. Learning theory has supplied educators with a wealth of information on how to design teaching tools, and this should form the bedrock of technology-enhanced educational platforms. When analysing resources and assessing if they are fit for purpose, the application of pedagogical theory should be explored and the degree to which it has been applied should be considered.",,,Advances in Experimental Medicine and Biology,Biomedical Visualisation,Paul M. Rea,Curriculum; Educational Measurement; Educational Technology; Humans; Learning; Neuroanatomy,2020-11-20,2020,2020-11-20,2020,1260,,43-73,Closed,Chapter,"Elmansouri, Ahmad; Murray, Olivia; Hall, Samuel; Border, Scott","Elmansouri, Ahmad (Centre for Learning Anatomical Sciences, University Hospital Southampton, Southampton, UK); Murray, Olivia (Edinburgh Medical School: Biomedical Sciences (Anatomy), University of Edinburgh, Edinburgh, UK); Hall, Samuel (Neurosciences Department, Wessex Neurological Centre, University Hospital Southampton, Southampton, UK); Border, Scott (Centre for Learning Anatomical Sciences, University Hospital Southampton, Southampton, UK)","Elmansouri, Ahmad (Southampton General Hospital)","Elmansouri, Ahmad (Southampton General Hospital); Murray, Olivia (University of Edinburgh); Hall, Samuel (Southampton General Hospital); Border, Scott (Southampton General Hospital)",7,2,1.09,,,https://app.dimensions.ai/details/publication/pub.1132748198,31 Biological Sciences; 32 Biomedical and Clinical Sciences,4 Quality Education
2538,pub.1129139545,10.1007/978-3-030-50513-4_35,,,Facilitating Access to the Role Models of Women in STEM: W-STEM Mobile App,"W-STEM is a research project funded by the European Union through the Erasmus+ program in order to develop concrete actions to modernise the government, management and operation of higher education institutions in Latin America to improve women’s access to STEM programs. Among the main objectives of the project, there is the development of a mobile app to be used in attraction campaigns conducted by the Latin American higher education institutions involved in the project. Specifically, the app aims to facilitate access to the role models of women in areas related to science, technology, engineering and mathematics. The main content inside the app will be a set of video interviews with women from different ages, cultural backgrounds, profiles, sharing their experiences about their careers, occupation and future plans. This work aims to describe the prototype of the mobile app and the exploratory study conducted with a group of students from secondary education to know their perceptions and opinions about the proposed app and the video interviews.","This research was partially supported by the Spanish Ministry of Science, Innovation and Universities under a FPU fellowship (FPU017/01252). This work has been possible with the support of the Erasmus+ Programme of the European Union in its Key Action 2 “Capacity-building in Higher Education”. Project W-STEM “Building the future of Latin America: engaging women into STEM” (Reference number 598923-EPP-1-2018-1-ES-EPPKA2-CBHE-JP). The content of this publication does not reflect the official opinion of the European Union. Responsibility for the information and views expressed in the publication lies entirely with the authors.",,Lecture Notes in Computer Science,"Learning and Collaboration Technologies. Designing, Developing and Deploying Learning Experiences","Panayiotis Zaphiris, Andri Ioannou",,2020-07-10,2020,2020-07-10,2020,12205,,466-476,Closed,Chapter,"García-Holgado, Alicia; Verdugo-Castro, Sonia; Sánchez-Gómez, Mª Cruz; García-Peñalvo, Francisco J.","García-Holgado, Alicia (GRIAL Research Group, University of Salamanca, Salamanca, Spain); Verdugo-Castro, Sonia (GRIAL Research Group, University of Salamanca, Salamanca, Spain); Sánchez-Gómez, Mª Cruz (GRIAL Research Group, University of Salamanca, Salamanca, Spain); García-Peñalvo, Francisco J. (GRIAL Research Group, University of Salamanca, Salamanca, Spain)","García-Holgado, Alicia (University of Salamanca)","García-Holgado, Alicia (University of Salamanca); Verdugo-Castro, Sonia (University of Salamanca); Sánchez-Gómez, Mª Cruz (University of Salamanca); García-Peñalvo, Francisco J. (University of Salamanca)",15,6,,,,https://app.dimensions.ai/details/publication/pub.1129139545,46 Information and Computing Sciences,4 Quality Education
1900,pub.1129066229,10.1002/9781119429128.iegmc317,,,Decolonial Feminism and Latin American Media,"Reflection on media content has been dominated by a public discourse that emphasizes a Western, androcentric point of view, particularly White and based on a knowledge produced in a particular context but predicated as “universally” valid. Scholars from the Global South have questioned the notion that the Western way of thinking is the universal way of thinking. For decolonial feminist scholars, gender, like race, is a colonial invention. In contemporary society, decolonial feminism has, first, motivated the questioning of media discourse constructed from the rhetoric of the matrix of colonial power and, second, the recreation of subaltern identities beyond global epistemic hierarchies. By assuming an “epistemic disobedience,” which implies questioning the Eurocentric/Western perspective as the only valid viewpoint, this entry explores how understandings about the intersection between race, class, sexuality, and gender related to Eurocentric points of view and a patriarchal perspective have been instilled and reproduced since colonial times in Latin American countries and other colonial areas. It also explores how such perspectives are still presented and perpetuated in current societies in the form of media messages. Scholars from the Global South have questioned how media imageries perpetuated a racist but also sexist perspective that came to the continent with the European invasion.",,,,"The International Encyclopedia of Gender, Media, and Communication","Karen Ross, Ingrid Bachmann, Valentina Cardo, Sujata Moorti, Marco Scarcelli",,2020-07-08,2020,2020-07-08,,,,1-7,Closed,Chapter,"Arroyave, Jesús; Gómez, Nancy R.","Arroyave, Jesús (Universidad del Norte, Colombia); Gómez, Nancy R. (Universidad del Norte, Colombia)",,"Arroyave, Jesús (Universidad del Norte); Gómez, Nancy R. (Universidad del Norte)",1,0,,0.63,,https://app.dimensions.ai/details/publication/pub.1129066229,44 Human Society; 4405 Gender Studies,
1862,pub.1132954053,10.1515/9780822396352-013,,,Living in Macondo: Economy and Culture in a United Fruit Company Banana Enclave in Colombia,,,,,Close Encounters of Empire,"Gilbert M. Joseph, Catherine C. LeGrand, Ricardo D. Salvatore",,2020-11-25,2020,2020-11-25,2020-12-31,,,333-368,Closed,Chapter,"LeGrand, Catherine C.","LeGrand, Catherine C. ()",,"LeGrand, Catherine C. ()",22,0,,,,https://app.dimensions.ai/details/publication/pub.1132954053,,
1833,pub.1132895684,10.1007/978-3-030-52680-1_19,,,Topic Modeling of Twitter Conversations: The Case of the National University of Colombia,"Topic modeling provides a useful method for finding symbolic representations of ongoing social events, which represent claims about the shape of social reality, its causes and the responsibility for action such causes imply. It has received special attention among social researchers in the last decade. During this time, Twitter has acted as the most common platform for people to share narratives about social events. This study proposes Latent Dirichlet Allocation (LDA) based topic modeling of Twitter conversations to determine the topics shared on Twitter about the financial crisis in the National University of Colombia. We downloaded all tweets that included the hashtag #CrisisUNAL (UNAL is the Spanish acronym for National University of Colombia) using the Twitter API interface and analyzed over 45,000 tweets published between 2011 and 2015. The results illustrate the strength of topic modeling for analyzing large text corpora and provide a way to study new emerging information that people share on Twitter.",,,"Studies in Classification, Data Analysis, and Knowledge Organization",Text Analytics,"Domenica Fioredistella Iezzi, Damon Mayaffre, Michelangelo Misuraca",,2020-11-25,2020,2020-11-25,2020,,,241-251,Closed,Chapter,"Sanandres, Eliana; Abello, Raimundo; Madariaga, Camilo","Sanandres, Eliana (Department of History and Social Sciences, Universidad del Norte, Barranquilla, Colombia); Abello, Raimundo (Directorate of Research, Development and Innovation, Universidad del Norte, Barranquilla, Colombia); Madariaga, Camilo (Department of Psychology, Universidad del Norte, Barranquilla, Colombia)","Sanandres, Eliana (Universidad del Norte)","Sanandres, Eliana (Universidad del Norte); Abello, Raimundo (Universidad del Norte); Madariaga, Camilo (Universidad del Norte)",2,1,,0.64,,https://app.dimensions.ai/details/publication/pub.1132895684,46 Information and Computing Sciences; 4608 Human-Centred Computing,
1831,pub.1132057295,10.1007/978-3-030-47638-0_21,,,Feasibility Study of Using Low-Cost Measurement Devices for System Identification Using Bayesian Approaches,"The development of low-cost measurement devices for dynamic identification of structures has gained considerable interest in recent times. The high cost of traditional systems has led several authors to evaluate the feasibility of using affordable acquisition systems. This article aims to quantify the uncertainties of the modal parameters of a flexible structure, instrumented with traditional and low-cost measurement devices. The evaluated low-cost acquisition systems were smartphones and Raspberry Pi microprocessors, while the conventional system consisted of highly sensitive piezoelectric accelerometers. The instrumented structure was a steel pedestrian bridge located in the city of Barranquilla. Bayesian methodologies were used to identify the modal parameters and their associated uncertainties in terms of probability distributions. The results obtained show the feasibility of using low-cost devices to determine the dynamic properties of a flexible structure.",,,Conference Proceedings of the Society for Experimental Mechanics Series,"Model Validation and Uncertainty Quantification, Volume 3",Zhu Mao,,2020-10-28,2020,2020-10-28,2020,,,201-208,Closed,Chapter,"Duarte, Alejandro; Ortiz, Albert R.","Duarte, Alejandro (Department of Civil and Environmental Engineering, Universidad del Norte, Barranquilla, Colombia); Ortiz, Albert R. (School of Civil Engineering and Geomatics, Universidad del Valle, Cali, Colombia)","Ortiz, Albert R. (University of Valle)","Duarte, Alejandro (Universidad del Norte); Ortiz, Albert R. (University of Valle)",1,1,,0.27,,https://app.dimensions.ai/details/publication/pub.1132057295,40 Engineering; 46 Information and Computing Sciences; 4605 Data Management and Data Science,
1780,pub.1128957187,10.1201/9781003092278-35,,,Carbon footprint of asphalt road pavements using warm mix asphalt with recycled concrete aggregates: A Colombian case study,"The construction of road pavements is an important consumer of natural resources and a major contributor to the human-driven emission of greenhouse gases (GHGs). As increasing attention has been paid to sustainability and natural resources preservation, highway agencies are looking for alternative materials and innovative asphalt mix technologies to reduce the carbon footprint of their pavement construction practices. In this study, a comparative carbon footprint assessment was conducted to evaluate the potential environmental benefits related to the use of recycled concrete aggregates (RCA) as a partial replacement of coarse natural aggregates in the production of Warm Mix Asphalt (WMA). In order to estimate the GHGs emissions associated with the use of these alternative resources in the construction of road pavements in Barranquilla, Colombia, primary data was gathered from companies in the region. The SimaPro software version 8.4.0 was used for modelling the processes analyzed in the case study according to the methodologies proposed in the ISO 14067 standards “Greenhouse gases- Carbon footprint of products- Requirements and guidelines for quantification and communication” and ISO 14040 standards “Environment management- Life cycle assessment- Principles and framework”. The pavement life cycle phases and processes included within the system boundaries were the following: (1) materials production and transportation to the mixing plant; (2) materials processing and mixtures production at the mixing plant; (3) mixtures transportation to the construction site; and (4) pavement construction. Finally, three percentages of RCA replacements were considered in the production of WMA. This chapter discusses the comparative carbon footprint assessment was conducted to evaluate the potential environmental benefits related to the use of recycled concrete aggregates (RCA) as a partial replacement of coarse natural aggregates in the production of Warm Mix Asphalt. The construction of road pavements is an important consumer of natural resources and a major contributor to the human-driven emission of greenhouse gases (GHG). The functional unit is the basis for comparisons between different products with the same utility for the same function. A comparative carbon footprint assessment was performed to estimate the potential savings related to the use of different levels of RCA replacements in coarse natural aggregates of Warm Mix Asphalt (WMA). The main goal of this study was to estimate the potential environmental benefits, expressed as CO2 equivalent emissions, related to the production of WMA with several RCA contents, namely 15, 30 and 45%.",,,,"Pavement, Roadway, and Bridge Life Cycle Assessment 2020","John Harvey, Imad L. Al-Qadi, Hasan Ozer, Gerardo Flintsch",,2020-07-02,2020,2020-07-02,,,,333-342,Closed,Chapter,"Araujo, D. Vega; Santos, J.; Martinez-Arguelles, G.","Araujo, D. Vega (Universidad del Norte, Barranquilla, Colombia); Santos, J. (University of Twente, The Netherlands); Martinez-Arguelles, G. (Universidad del Norte, Barranquilla, Colombia)",,"Araujo, D. Vega (Universidad del Norte); Santos, J. (University of Twente); Martinez-Arguelles, G. (Universidad del Norte)",6,3,,1.34,,https://app.dimensions.ai/details/publication/pub.1128957187,33 Built Environment and Design; 3302 Building; 40 Engineering; 4005 Civil Engineering; 41 Environmental Sciences; 4104 Environmental Management,12 Responsible Consumption and Production
1779,pub.1121159063,10.4018/978-1-7998-1086-5.ch006,,,Estimating the CAPM Beta for Public and Private Firms,"This chapter presents solutions to some challenges when calculating CAPM Beta. Three methods for calculating traditional beta are presented and illustrated through the case of Facebook. Different choices of market index, data frequency, and sample size result in different values of beta; however, in all cases beta was greater than one. The chapter explores ordinal beta as an alternative measure to treat outliers in both developed and thin markets. Using a sample of 84 US stocks, there was no statistical difference between median traditional and ordinal betas. This was not the case for a sample of 47 Colombian stocks, which questions the usefulness of traditional beta in thin markets. In contrast with median traditional beta, median ordinal beta did not change significantly as a result of irregular data series. The contrary occurred when the observation (sampling) period was reduced; this leaves open the question of subjectivity when defining such period. Finally, the process of valuing a private company was illustrated through the case of Palmoil Ltd., a Colombian company.",,,Advances in Business Information Systems and Analytics,Valuation Challenges and Solutions in Contemporary Businesses,Sinem Derindere Köseoğlu,,2020,2020,,,,,99-125,Closed,Chapter,"Sanchez-Barrios, Luis Javier; Lukanima, Benedicto Kulwizira; Hernandez-Vargas, Natalia; Almanza Herazo, Luis Ricardo","Sanchez-Barrios, Luis Javier (Universidad del Norte, Colombia); Lukanima, Benedicto Kulwizira (Universidad del Norte, Colombia); Hernandez-Vargas, Natalia (Universidad del Norte, Colombia); Almanza Herazo, Luis Ricardo (Universidad del Norte, Colombia)",,"Sanchez-Barrios, Luis Javier (Universidad del Norte); Lukanima, Benedicto Kulwizira (Universidad del Norte); Hernandez-Vargas, Natalia (Universidad del Norte); Almanza Herazo, Luis Ricardo (Universidad del Norte)",2,2,,0.89,,https://app.dimensions.ai/details/publication/pub.1121159063,"35 Commerce, Management, Tourism and Services; 3502 Banking, Finance and Investment; 38 Economics; 3801 Applied Economics",
1657,pub.1126662085,10.1007/978-3-030-45093-9_54,,,Multi-objective Evolutionary Approaches for Solving the Hybrid Flowshop Scheduling Problem,"Abstract
In this paper we schedule a set of jobs on a production system with more than one stage and several machines in parallel per stage, considering multiple objectives to be optimized. This problem is known as the Flexible or Hybrid Flowshop Scheduling problem (HFSP), which is NP-hard even for the case of a system with only two processing stages where one stage contains two machines and the other stage contains a single machine. In that sense, it is possible to find an optimal solution for this problem with low computing resources, only for small instances which, in general, do not reflect the industrial reality. For that reason, the use of meta-heuristics as an alternative approach it is proposed with the aim to determine, within a computational reasonable time, the best assignation of the jobs in order to minimize the makespan, total tardiness and the number of tardy jobs simultaneously. In this regard, a Multi-Objective Ant Colony Optimization algorithm (MOACO) and the Non-dominated Sorting Genetic Algorithm-II (NSGA-II) are used for solving this combinatorial optimization problem. Results show the effectiveness of the approaches proposed.",,,Lecture Notes in Computer Science,Computer Aided Systems Theory – EUROCAST 2019,"Roberto Moreno-Díaz, Franz Pichler, Alexis Quesada-Arencibia",,2020-04-15,2020,2020-04-15,2020,12013,,446-453,Closed,Chapter,"Niebles-Atencio, Fabricio; Rojas-Santiago, Miguel; Mendoza-Casseres, Daniel","Niebles-Atencio, Fabricio (Institute of Information Systems, Universität Hamburg, Von-Melle-Park 5, 20146, Hamburg, Germany); Rojas-Santiago, Miguel (Industrial Engineering Department, Universidad del Norte, Km 5 Ant. Via Puerto Colombia, Barranquilla, Colombia); Mendoza-Casseres, Daniel (Facultad de Ingenieria, Universidad del Atlantico, Km 7 Ant. Via Puerto Colombia, Barranquilla, Colombia)","Niebles-Atencio, Fabricio (Universität Hamburg)","Niebles-Atencio, Fabricio (Universität Hamburg); Rojas-Santiago, Miguel (Universidad del Norte); Mendoza-Casseres, Daniel (University of Atlántico)",1,1,,0.33,,https://app.dimensions.ai/details/publication/pub.1126662085,46 Information and Computing Sciences; 4602 Artificial Intelligence,
1618,pub.1127786360,10.1007/978-3-030-47679-3_22,,,"Machine Learning Approach Applied to the Prevalence Analysis of ADHD Symptoms in Young Adults of Barranquilla, Colombia","Disorder Attention Deficit/Hyperactivity Disorder, or ADHD, is recognized as one of the pathologies of high prevalence in children and adolescents from the global environment population; this disorder generates visible symptoms usually diminish with the passage of time in adulthood, however they remain concealed by demonstrations damnifican personal stability and human development apt. This article shows the results of the research aimed at determining the prevalence of symptoms of attention deficit hyperactivity disorder in Young Adults University of Barranquilla and its Metropolitan Area. The sample of 1600 young adults between 18 and 25 years, which has been estimated at 95% confidence level and a margin of error of 2.44%. The information was acquired through the application of exploratory instruments symptoms of attention deficit hyperactivity disorder. With the application of the algorithm different machine learning algorithms such as: Bagging, MultiBoostAB, DecisionStump, LogitBoost, FT, J48Graft, a high performance in the Bagging algorithm could be identified with the following results in quality metrics: Accuracy 91.67%, Precision 94.12%, Recall 88.89% and F-measure 91.43%.",,,Lecture Notes in Computer Science,Computer Information Systems and Industrial Management,"Khalid Saeed, Jiří Dvorský",,2020-05-22,2020,2020-05-22,2020,12133,,255-265,Closed,Chapter,"Leon-Jacobus, Alexandra; Ariza-Colpas, Paola Patricia; Barcelo-Martínez, Ernesto; Piñeres-Melo, Marlon Alberto; Morales-Ortega, Roberto Cesar; Ovallos-Gazabon, David Alfredo","Leon-Jacobus, Alexandra (Universidad Metropolitana, Barranquilla, Colombia); Ariza-Colpas, Paola Patricia (Universidad de la Costa, CUC, Barranquilla, Colombia); Barcelo-Martínez, Ernesto (Universidad de la Costa, CUC, Barranquilla, Colombia; Instituto Colombiano de Neuropedagogia, Barranquilla, Colombia); Piñeres-Melo, Marlon Alberto (Universidad del Norte, Barranquilla, Colombia); Morales-Ortega, Roberto Cesar (Universidad de la Costa, CUC, Barranquilla, Colombia); Ovallos-Gazabon, David Alfredo (Universidad Simón Bolivar, Barranquilla, Colombia)","Ariza-Colpas, Paola Patricia (University of the Coast)","Leon-Jacobus, Alexandra (Universidad Metropolitana); Ariza-Colpas, Paola Patricia (University of the Coast); Barcelo-Martínez, Ernesto (University of the Coast; Instituto Colombiano de Neuropedagogia, Barranquilla, Colombia); Piñeres-Melo, Marlon Alberto (Universidad del Norte); Morales-Ortega, Roberto Cesar (University of the Coast); Ovallos-Gazabon, David Alfredo (Universidad Simón Bolívar)",2,1,,,,https://app.dimensions.ai/details/publication/pub.1127786360,46 Information and Computing Sciences,
