"About the data: Exported on Oct 02, 2024. Criteria: '""Universidad del Norte"" OR ""universidad del norte"" OR ""University of the North"" OR ""university of the north"" OR ""Uninorte"" OR ""uninorte""' in full data; Publication Year is 2024; Publication Type is Monograph or Edited Book or Proceeding or Chapter; Open Access is Closed.  Note: For hyper-authorship publications with more than 100 authors the export does not include author names and affiliations. © 2024 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Funding,Source title,Anthology title,Book editors,MeSH terms,Publication date,PubYear,Publication date (online),Publication date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
1965,pub.1171628094,10.4018/979-8-3693-2057-0.ch008,,,Fostering Intercultural Competence Through Learning Communities in Colombian Higher Education,"The chapter presents the results of a research study conducted by researchers from the Universidad del Norte (Barranquilla, Colombia) where the dynamics and interactions among faculty that participated in the teacher learning community 'intercultural competence' (TLCIC). The goal of this study was to analyze the effect of the learning community in strengthening the intercultural pedagogical practices of teachers, leveraging the interpersonal relationships established among the participants of the TLCIC. This study was based on an evaluative approach of participatory research, inspired by cooperative action research, in which professionals from various fields collaborated in identifying issues, conducting observations, reflecting on the findings, and, jointly, addressing contextual challenges. The study consisted of five stages as a holistic and reflective process that integrates analysis, design of the learning experiences, implementation, and evaluation. Some results of the research will be described in this chapter.",,,"Advances in Educational Marketing, Administration, and Leadership",Transformative Intercultural Global Education,"Isabel María Gómez Barreto, Gorka Roman Etxebarrieta",,2024-05-13,2024,,,,,134-148,Closed,Chapter,"Ricardo, Carmen; Cano, John; Medina, Antonio; Pérez-Navío, Eufrasio","Ricardo, Carmen (Universidad del Norte, Colombia); Cano, John (University of California, Berkeley, USA); Medina, Antonio (Universidad Nacional de Educación a Distancia, Spain); Pérez-Navío, Eufrasio (Universidad de Jaén, Spain)",,"Ricardo, Carmen (Universidad del Norte); Cano, John (University of California, Berkeley); Medina, Antonio (National University of Distance Education); Pérez-Navío, Eufrasio (University of Jaén)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1171628094,39 Education; 3901 Curriculum and Pedagogy; 3903 Education Systems,
1930,pub.1169026042,10.1007/978-3-031-50590-4_16,,,"Gamification Software to Support the Learning Process of Children with Emphasis on Psychomotor, Psychoanalytic and Attention Deficit Disabilities","Education is the basis for the discovery of new knowledge and therefore the growth of society. Then, education must evolve at the same pace as technological advances, developing new educational strategies. This proposal implements a teaching–learning model that encourage the students’ ability to concentrate, considering the lack of interest in traditional learning. Hence, this tool allows greater student participation, in which they acquire knowledge in an interesting and innovative way. Gamification is the basis of this tool, designed to have fun and at the same time to promote factors such as concentration, attention and motor skills. This tool is represented graphically as a video game of races, questions and ability. Its impact has a pedagogical approach so that teachers can identify in their students the different capacities of concentration and analysis that they possess and at the same time the students learn in a more didactic and interesting way based on gamification.","We would like to express our sincere thanks to psychologist María del Carmen Fontalvo, whose valuable guidance and experience were fundamental to the development of the rubric studies in this project. Her expert advice in the research design and analysis significantly enriched our approaches and results. We also extend our appreciation to the Universidad del Norte for their support and collaboration, which provided a solid academic framework for this study. We also thank the Colegio for allowing us to conduct the studies and surveys in their educational environment, which made an essential contribution to obtaining relevant data. We are deeply grateful for their contribution to this project.",,Studies in Computational Intelligence,New Perspectives in Software Engineering,"Jezreel Mejía, Mirna Muñoz, Alvaro Rocha, Yasmin Hernández Pérez, Himer Avila-George",,2024-02-21,2024,2024-02-21,2024,1135,,247-260,Closed,Chapter,"Morales, Juan; Fontalvo, Alejandro; Rodriguez, Sibeli; Gamarra, Margarita","Morales, Juan (Department of Systems Engineering, Universidad del Norte, 081007, Barranquilla, Colombia); Fontalvo, Alejandro (Department of Systems Engineering, Universidad del Norte, 081007, Barranquilla, Colombia); Rodriguez, Sibeli (Department of Systems Engineering, Universidad del Norte, 081007, Barranquilla, Colombia); Gamarra, Margarita (Department of Systems Engineering, Universidad del Norte, 081007, Barranquilla, Colombia)","Morales, Juan (Universidad del Norte)","Morales, Juan (Universidad del Norte); Fontalvo, Alejandro (Universidad del Norte); Rodriguez, Sibeli (Universidad del Norte); Gamarra, Margarita (Universidad del Norte)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1169026042,46 Information and Computing Sciences; 4602 Artificial Intelligence; 4611 Machine Learning,4 Quality Education
1854,pub.1171992524,10.1007/978-3-031-52965-8_49,,,Validation and Numerical Simulation of a Parabolic Trough Solar Collector Plant Using an Implicit Finite-Difference Scheme,"The evolving energy landscape demands reliable integration of renewable resources to ensure security, sustainability, and reduced carbon emissions. Then, a high level of understanding about the behavior of the renewable energy sources, the technologies, and their interaction is needed. Particularly, parabolic trough collector (PTC) solar plants can positively affect power systems due to their dispatchability. Since PTC harvests direct normal irradiance (DNI), complex dynamic models are required to understand how PTC behaves. This work uses a 1-D dynamic model that captures the dynamic behavior of PTC plants and is solved numerically via a three-point backward finite-difference. Through two case studies, this research highlights the dynamic behavior and performance of the PTC rows and total solar fields. The row response to varying DNI is showcased in the first case study. The model predicts heat transfer fluid (HTF) temperature profiles in 0.7 s, paving the way for effective control strategies to prevent overheating. The second case study extends the analysis to disturbances caused by clouds and shadows, reaffirming the model’s robustness. With a computation time of 2.7 s for temperature profiles over a day, the model offers both accuracy and computational efficiency for real-time applications.","Richard Rangel acknowledges the financial support from the Colombian Ministry of Sciences, Technology, and Innovation through the National Doctoral Program 785-2018 and Universidad del Norte through the scholarship contract N° UN-OJ-2018-41048. We thank Eduardo Zarza (CIEMAT-Plataforma Solar de Almería) for sharing the experimental data to validate the model.",,Springer Proceedings in Mathematics & Statistics,Mathematical Modeling in Physical Sciences,Dimitrios Vlachos,,2024-05-24,2024,2024-05-24,2024,446,,667-679,Closed,Chapter,"Rangel, Richard; Corredor, Lesme; Sanjuan, Marco","Rangel, Richard (Department of Mechanical Engineering, Universidad del Norte, Barranquilla, Colombia); Corredor, Lesme (Department of Mechanical Engineering, Universidad del Norte, Barranquilla, Colombia); Sanjuan, Marco (Centro de Investigación e Innovación en Energía y Gas (CIIEG), Promigas S.A E.S.P., Barranquilla, Colombia)","Rangel, Richard (Universidad del Norte)","Rangel, Richard (Universidad del Norte); Corredor, Lesme (Universidad del Norte); Sanjuan, Marco (Centro de Investigación e Innovación en Energía y Gas (CIIEG), Promigas S.A E.S.P., Barranquilla, Colombia)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1171992524,"40 Engineering; 4007 Control Engineering, Mechatronics and Robotics",13 Climate Action; 7 Affordable and Clean Energy
1745,pub.1171931350,10.1007/978-3-031-49475-8_5,,,Health Tourism and Infectious Diseases,"Health tourism is an old concept, but in recent years it has gained enormously in popularity. Health tourists are individuals who leave their local communities and travel to another country for non-emergency medical care. Common procedures performed abroad include dental work, arthroplasty, bariatric, cosmetic and cardiac surgery, reproductive care and organ transplant. At present, complete and accurate data on the volume of health tourism, destination, services, and procedures are unavailable. Similarly, little information is available regarding the risks facing health tourists, such as the infectious diseases associated with surgery or the problems inherent in travelling to other regions. Most reports suggest that procedures carried out abroad are associated with higher rates of infections, but there is no system-wide database currently tracking procedures and outcomes. Transplant tourists are more likely to develop cytomegalovirus, hepatitis B virus, human immunodeficiency virus (HIV), and wound infections, and cosmetic tourists more frequently have wound infections caused by Mycobacterium abscessus. Nosocomial infections caused by resistant pathogens have also been reported in health tourism patients. Importantly, the delay in the identification of patients with resistant pathogens may potentially result in an outbreak of disease. More research into the health and safety risks in health tourism is urgently needed, and all medical centres should have a predefined approach to the management of patients who have seek medical care abroad.",,,,Emerging and Re-emerging Infections in Travellers,"Hakan Leblebicioglu, Nick Beeching, Eskild Petersen",,2024-05-23,2024,2024-05-23,2024,,,69-78,Closed,Chapter,"Viasus, Diego; Carratalà, Jordi","Viasus, Diego (Faculty of Medicine, Division of Health Sciences, Universidad del Norte and Hospital Universidad del Norte, Barranquilla, Colombia); Carratalà, Jordi (Infectious Disease Department, Hospital Universitari de Bellvitge and Institut d’Investigació Biomèdica de Bellvitge (IDIBELL), Barcelona, Spain; Faculty of Medicine, Clinical Sciences Department, University of Barcelona, Barcelona, Spain; Centro de Investigación Biomédica en Red de Enfermedades Infecciosas (CIBERINFEC), Instituto de Salud Carlos III, Madrid, Spain)","Carratalà, Jordi (Institut d'Investigació Biomédica de Bellvitge; University of Barcelona; Instituto de Salud Carlos III)","Viasus, Diego (Universidad del Norte); Carratalà, Jordi (Institut d'Investigació Biomédica de Bellvitge; University of Barcelona; Instituto de Salud Carlos III)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1171931350,"32 Biomedical and Clinical Sciences; 3202 Clinical Sciences; 35 Commerce, Management, Tourism and Services; 3504 Commercial Services; 3506 Marketing; 3508 Tourism",3 Good Health and Well Being
1725,pub.1170272392,10.1007/978-3-031-50004-6_9,,,Pre-service Science Teacher Education in Colombia,"The present text is the result of research projects developed during the years 2002 and 2003 respectively. In them, the epistemological, didactical, and pedagogical foundations from which the initial training academic programs that had previously received accreditation from the Ministry of National Education were investigated, guided said training.",,,Sociocultural Explorations of Science Education,Science Teaching and a New Teacher Culture,"Mario Roberto Quintanilla Gatica, Agustín Adúriz-Bravo",,2024-03-30,2024,2024-03-30,2024,31,,151-170,Closed,Chapter,"Badillo, Rómulo Gallego; Miranda, Royman Pérez; de Gallego, Luz Nery Torres; Amador-Rodríguez, Rafael Yecid","Badillo, Rómulo Gallego (National Pedagogical University, Bogotá, Colombia); Miranda, Royman Pérez (National Pedagogical University, Bogotá, Colombia); de Gallego, Luz Nery Torres (National Pedagogical University, Bogotá, Colombia); Amador-Rodríguez, Rafael Yecid (Universidad Nacional del Comahue, Neuquén, Argentina; Instituto de Estudios en Educación-IESE, Universidad del Norte, Barranquilla, Colombia)","de Gallego, Luz Nery Torres (National Pedagogic University)","Badillo, Rómulo Gallego (National Pedagogic University); Miranda, Royman Pérez (National Pedagogic University); de Gallego, Luz Nery Torres (National Pedagogic University); Amador-Rodríguez, Rafael Yecid (National University of Comahue; Universidad del Norte)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1170272392,39 Education; 3901 Curriculum and Pedagogy; 3903 Education Systems,4 Quality Education
1713,pub.1175746940,10.2174/9789815274523124030003,,,Interlaminar Lumbar Endoscopy,"This chapter provides a comprehensive overview and technique guide for endoscopic interlaminar lumbar decompression surgery, a minimally invasive surgical technique for managing herniated discs and spinal stenosis. The authors discuss the relevant surgical anatomy of the lumbar spine, the inclusion and exclusion criteria for the surgery, and explain the surgery’s step-by-step choreography by highlighting the use of advanced imaging and endoscopic technology. The authors review their clinical outcomes and discuss common complications and their management. They highlight the limitations of the procedure. This book chapter is a valuable resource for surgeons and healthcare professionals interested in understanding and implementing endoscopic lumbar interlaminar decompression as an effective and minimally invasive approach for managing sciatica-type low back and leg pain.",,,,Interventional Pain Surgery,"Kai-Uwe Lewandrowski, William Omar Contreras López, Jorge Felipe Ramírez León, Álvaro Dowling, Morgan P. Lorio, Hui-lin Yang, Xifeng Zhang, Anthony T. Yeung",,2024-09-11,2024,,2024-09-11,,,1-18,Closed,Chapter,"Name Guerr, José Antonio; Castro Prasca, Daniel Andrés; Contreras López, William Omar; Lewandrowski, Kai-Uwe","Name Guerr, José Antonio (Klinikum Bremen Mitte University of Goettingen, Bremen, Germany); Castro Prasca, Daniel Andrés (Universidad del Norte, Barranquilla, Colombia); Contreras López, William Omar (Clínica Foscal Internacional, Autopista Floridablanca - Girón, Km 7, Floridablanca, Santander, Colombia); Lewandrowski, Kai-Uwe (Center for Advanced Spine Care of Southern Arizona, and Surgical Institute of Tucson, Tucson, AZ, USA)",,"Name Guerr, José Antonio (Klinikum Bremen-Mitte); Castro Prasca, Daniel Andrés (Universidad del Norte); Contreras López, William Omar (Foscal Hospital); Lewandrowski, Kai-Uwe (Center for Advanced Spine Care of Southern Arizona, and Surgical Institute of Tucson, Tucson, AZ, USA)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1175746940,32 Biomedical and Clinical Sciences; 3202 Clinical Sciences; 42 Health Sciences,
1711,pub.1170330045,10.1007/978-3-031-53278-8_8,,,Antebellum (2020): White Supremacist Masculinities and Black Lives Matters in the Trump Era,"The present chapter provides an analysis of Gerard Bush and Christopher Renz’s film Antebellum (2020) from the perspective of horror films depicting culture wars. In this case, we consider Antebellum to be a relevant examination of Trump-era US cultural warfare. The chapter begins by offering a categorization of the film with various subcategories within the genre of horror (e.g., folk horror, Blacks in horror, and Black horror). The chapter then explores how Antebellum is related to the Black Lives Matter movement. Moreover, Antebellum can be seen as a response to the infamous events that took place during the “Unite the Right” rally in the summer of 2017 in Charlottesville, Virginia. The chapter then delves into masculine crimes committed by Antebellum’s neo-Confederate male characters, aiming to fill the existing void in scholarly works on Black horror and the portrayal of Blacks within the horror genre. The article is divided into two sections: one examines the conflict between the characters Dr. Henley and Senator Denton, and the other considers the significance of Captain Jasper’s violent acts perpetrated against the character Amara. Making use of these scenes, we explore how Senator Denton and Captain Jasper employ concepts of neo-Confederate masculinity in Antebellum.",,,,Culture Wars and Horror Movies,"Noelia Gregorio-Fernández, Carmen M. Méndez-García",,2024-04-02,2024,2024-04-02,2024,,,137-159,Closed,Chapter,"Arroyo Paniagua, Juan José; McClain, Steven K.","Arroyo Paniagua, Juan José (Universidad Complutense de Madrid, Madrid, Spain; ESIC University, Madrid, Spain); McClain, Steven K. (Universidad del Norte, Barranquilla, Colombia)","Arroyo Paniagua, Juan José (Complutense University of Madrid; ESIC University)","Arroyo Paniagua, Juan José (Complutense University of Madrid; ESIC University); McClain, Steven K. (Universidad del Norte)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1170330045,"36 Creative Arts and Writing; 3605 Screen and Digital Media; 47 Language, Communication and Culture","16 Peace, Justice and Strong Institutions"
1711,pub.1169892651,10.1007/978-3-031-52986-3_5,,,Using Authentic Locally Based Projects to Foster Active Citizenship While Developing Content Knowledge and Language Proficiency in the CLIL Classroom,"This chapter explores how using authentic localised topics in a CLIL course promotes active citizenship while developing content knowledge, language proficiency, and academic skills. This qualitative study was conducted at a university in Colombia with 93 participants from an International Relations English programme. The data was collected from student reflections across four academic periods and was analysed using qualitative content analysis. The results show students have deepened their knowledge of the content themes, expanded their language proficiency, and enhanced their academic competences. Data also indicates that the participants demonstrate characteristics of active citizenship such as using their voice to draw attention to injustice and expressing a desire to contribute to change. This project shows how authentic local issues can be used in CLIL classrooms to not only boost content knowledge and language proficiency but also challenge students to assess their role in the world as potential agents of change.",,,Multilingual Education,Content and Language Integrated Learning in South America,"Yolanda Ruiz de Zarobe, Darío Luis Banegas",,2024-03-20,2024,2024-03-20,2024,46,,67-82,Closed,Chapter,"Keogh, Conor; Corrales, Kathleen A.; Poole, Paige Michael","Keogh, Conor (Universidad del Norte, Barranquilla, Colombia); Corrales, Kathleen A. (Universidad del Norte, Barranquilla, Colombia); Poole, Paige Michael (PangeaChat, Richmond, USA)","Keogh, Conor (Universidad del Norte)","Keogh, Conor (Universidad del Norte); Corrales, Kathleen A. (Universidad del Norte); Poole, Paige Michael (PangeaChat, Richmond, USA)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1169892651,"39 Education; 3901 Curriculum and Pedagogy; 47 Language, Communication and Culture; 4704 Linguistics",4 Quality Education
1710,pub.1169019727,10.1007/978-3-031-50590-4_15,,,LinkU: An Academic and Social Schedule Management Software,"Today’s society demands a lot of time to carry out activities, but being busy is not synonymous with productivity. This statement has become important at university, where students spend time outside the classroom on activities that do not contribute significantly to their development. This paper presents LinkU, an IT (Information Technology) solution aimed at university schedule management. Identifying the different challenges when the students try to visualize their timetables, LinkU provides an intuitive and easy-to-use platform for quick and organized access to the users’ schedules. In addition to personal schedule management, LinkU allows its users to add friends, view their schedules, and check classroom availability on campus. This article examines the benefits and importance of adopting LinkU to enhance academic experience. The results show the potential impact of LinkU in optimizing time management and facilitating social engagement among students, contributing to their overall academic and personal well-being throughout their educational journey.",,,Studies in Computational Intelligence,New Perspectives in Software Engineering,"Jezreel Mejía, Mirna Muñoz, Alvaro Rocha, Yasmin Hernández Pérez, Himer Avila-George",,2024-02-21,2024,2024-02-21,2024,1135,,233-246,Closed,Chapter,"Valencia Rua, Alejandra; López Gallardo, Carlos Elías; Martínez Medina, Daniel Enrique; Llanos Avilez, Karen Susana; Gamarra Acosta, Margarita Rosa","Valencia Rua, Alejandra (Department of System Engineering, Universidad del Norte, Barranquilla, Colombia); López Gallardo, Carlos Elías (Department of System Engineering, Universidad del Norte, Barranquilla, Colombia); Martínez Medina, Daniel Enrique (Department of System Engineering, Universidad del Norte, Barranquilla, Colombia); Llanos Avilez, Karen Susana (Department of System Engineering, Universidad del Norte, Barranquilla, Colombia); Gamarra Acosta, Margarita Rosa (Department of System Engineering, Universidad del Norte, Barranquilla, Colombia)","Valencia Rua, Alejandra (Universidad del Norte)","Valencia Rua, Alejandra (Universidad del Norte); López Gallardo, Carlos Elías (Universidad del Norte); Martínez Medina, Daniel Enrique (Universidad del Norte); Llanos Avilez, Karen Susana (Universidad del Norte); Gamarra Acosta, Margarita Rosa (Universidad del Norte)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1169019727,46 Information and Computing Sciences; 4610 Library and Information Studies,
1710,pub.1175746944,10.2174/9789815274523124030007,,,Endoscopically Visualized Rhizotomy for the Management of Chronic Facetogenic Low Back Pain,"This chapter provides a comprehensive overview of endoscopic lumbar facet rhizotomy, a minimally invasive surgical technique for managing chronic low back pain originating from the facet joints. The authors discuss the relevant anatomy of the lumbar facet joint complex, the pathophysiology of facet joint-related pain, the inclusion and exclusion criteria for the surgery, and explain the surgery’s step-by-step choreography by highlighting the use of advanced imaging and endoscopic technology for precise targeting and ablation of the medial branch of the dorsal facet nerve. The authors review their clinical outcomes. Furthermore, the authors discuss the current evidence, research advancements, and future directions in the field. This book chapter is a valuable resource for surgeons, pain specialists, and healthcare professionals interested in understanding and implementing endoscopic lumbar facet rhizotomy as an effective and minimally invasive approach for managing facet joint-related low back pain.",,,,Interventional Pain Surgery,"Kai-Uwe Lewandrowski, William Omar Contreras López, Jorge Felipe Ramírez León, Álvaro Dowling, Morgan P. Lorio, Hui-lin Yang, Xifeng Zhang, Anthony T. Yeung",,2024-09-11,2024,,2024-09-11,,,61-73,Closed,Chapter,"Name Guerra, José Antonio; Castro Prasca, Daniel Andres; Contreras López, William Omar; Lewandrowski, Kai-Uwe","Name Guerra, José Antonio (Medico Neurocirujano, Universidad del Norte, Universidad de Göttingen Cr. 30 Corredor universitario # 1 - 850, Unidad Médica Portoazul, Consultorio 520, Barranquilla, Colombia); Castro Prasca, Daniel Andres (Universidad del Norte, Barranquilla, Colombia); Contreras López, William Omar (Clínica Foscal Internacional, Autopista Floridablanca - Girón, Km 7, Floridablanca, Santander, Colombia); Lewandrowski, Kai-Uwe (Center for Advanced Spine Care of Southern Arizona and Surgical Institute of Tucson, Tucson, AZ, USA)",,"Name Guerra, José Antonio (Universidad del Norte); Castro Prasca, Daniel Andres (Universidad del Norte); Contreras López, William Omar (Foscal Hospital); Lewandrowski, Kai-Uwe (Center for Advanced Spine Care of Southern Arizona and Surgical Institute of Tucson, Tucson, AZ, USA)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1175746944,32 Biomedical and Clinical Sciences; 3202 Clinical Sciences; 42 Health Sciences; 4201 Allied Health and Rehabilitation Science,
